datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,A8888.DCE,A8888,DCE,3920.539,3950.489,3910.373,3920.369,108937,4282471060.0,264767,4163.313,3692.683,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,10.0,3931.144661593398
2025-01-03,A8888.DCE,A8888,DCE,3931.014,3933.355,3899.42,3907.083,137586,5396073350.0,265153,4161.888,3691.448,,,,Normal,,-0.003388966701858953,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.0,3921.96397162502
2025-01-06,A8888.DCE,A8888,DCE,3901.256,3909.208,3864.074,3882.053,191014,7432940550.0,265633,4152.98,3683.995,,,,Normal,,-0.006406313866380686,,,,,0.25,0.25,0.25,0.25,10.0,3891.3066843268034
2025-01-07,A8888.DCE,A8888,DCE,3891.434,3897.461,3822.867,3840.473,190106,7334068760.0,273506,4119.766,3654.491,,,,Normal,,-0.010710827492566466,,,,,0.2,0.2,0.2,0.2,10.0,3857.8838963525614
2025-01-08,A8888.DCE,A8888,DCE,3841.628,3845.552,3819.874,3829.77,110478,4240570810.0,273837,4086.007,3624.652,,,,Normal,3875.9496,-0.002786896301575359,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,10.0,3838.3848458516627
2025-01-09,A8888.DCE,A8888,DCE,3831.143,3845.973,3823.01,3835.216,107880,4140475750.0,281230,4063.18,3603.941,,,,Normal,3858.9190000000003,0.001422017510189777,1.436814883362769,,,,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.2857142857142857,10.0,3838.03832962551
2025-01-10,A8888.DCE,A8888,DCE,3839.634,3902.646,3833.876,3885.87,239525,9290671790.0,280114,4064.3,3604.936,,,,Normal,3854.6764000000003,0.013207600302042932,1.7439281862002707,,,,0.8333333333333334,0.625,0.625,0.625,10.0,3878.790017743451
2025-01-13,A8888.DCE,A8888,DCE,3877.378,3933.635,3869.788,3929.116,166297,6497428710.0,295111,4108.847,3645.105,,,,Normal,3864.089,0.011129039314233369,0.9790258810516188,,,,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,10.0,3907.123225313746
2025-01-14,A8888.DCE,A8888,DCE,3929.124,3963.915,3927.998,3952.605,195578,7727277730.0,294836,4138.709,3671.381,,,,Normal,3886.5153999999993,0.0059781894960597715,0.031702642532215546,,,,0.8333333333333334,0.9,0.9,0.9,10.0,3950.99537269018
2025-01-15,A8888.DCE,A8888,DCE,3942.712,3980.661,3936.306,3977.442,161783,6420024630.0,299552,4180.916,3708.172,,,,Normal,3916.0498,0.00628370403822287,-0.3175859659920387,,,,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,10.0,3968.293720601052
