datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-06-11,AD8888.SHFE,AD8888,SHFE,19188.809,19501.955,19186.15,19381.739,29289,5667891550.0,12231,20555.44,17863.122,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,,
2025-06-12,AD8888.SHFE,AD8888,SHFE,19411.782,19474.327,19339.723,19444.078,13709,2662877550.0,12635,20688.935,17985.264,,,,Normal,,0.003216378055653335,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,
2025-06-13,AD8888.SHFE,AD8888,SHFE,19437.794,19502.466,19318.659,19410.184,11873,2304513650.0,10791,20766.693,18052.64,,,,Normal,,-0.0017431528509606053,,,,,0.5,0.5,0.5,0.5,,
2025-06-16,AD8888.SHFE,AD8888,SHFE,19379.811,19459.253,19339.585,19447.183,6078,1179829500.0,10206,20748.528,18035.816,,,,Normal,,0.0019061643104465453,,,,,0.8,0.8,0.8,0.8,,
2025-06-17,AD8888.SHFE,AD8888,SHFE,19482.063,19607.675,19427.833,19548.033,9369,1831041150.0,10455,20755.261,18042.593,,,,Normal,19446.2434,0.0051858410547172,,,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,,
2025-06-18,AD8888.SHFE,AD8888,SHFE,19573.819,19713.116,19564.791,19703.413,7736,1520725650.0,10579,20891.168,18158.381,,,,Normal,19510.5782,0.007948625828491318,1.4330699372917386,,,,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,,
2025-06-19,AD8888.SHFE,AD8888,SHFE,19694.6,19810.128,19594.678,19744.807,12008,2370020850.0,9950,21012.354,18260.78,,,,Normal,19570.724,0.002100854303769717,-0.29856964002433634,,,,0.8333333333333334,0.875,0.875,0.875,,
2025-06-20,AD8888.SHFE,AD8888,SHFE,19681.903,19750.391,19601.957,19618.535,5954,1172321650.0,9844,21094.179,18333.737,,,,Normal,19612.394200000002,-0.006395200520319166,-1.7745376949945544,,,,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,
2025-06-23,AD8888.SHFE,AD8888,SHFE,19644.018,19770.36,19616.922,19657.18,4367,860028350.0,9714,21042.602,18290.97,,,,Normal,19654.3936,0.001969820886217999,-0.03991465787724054,,,,0.5,0.7,0.7,0.7,,
2025-06-24,AD8888.SHFE,AD8888,SHFE,19672.644,19708.139,19503.175,19603.115,4892,959941800.0,9522,21043.443,18291.459,,,,Normal,19665.41,-0.0027503945123358298,-0.6836402077750819,,,,0.16666666666666666,0.5454545454545454,0.5454545454545454,0.5454545454545454,,
2025-06-25,AD8888.SHFE,AD8888,SHFE,19593.435,19669.209,19507.252,19667.456,3803,745349600.0,9365,20967.206,18225.518,,,,Normal,19658.2186,0.003282182449064752,0.9954115199960487,0.46283017654824393,,,0.6666666666666666,0.7272727272727273,0.75,0.75,,
2025-06-26,AD8888.SHFE,AD8888,SHFE,19667.345,19717.288,19612.976,19685.612,2986,587822700.0,9455,20942.261,18201.195,,,,Normal,19646.3796,0.0009231493895296428,0.43016061989978177,-0.08261812160516241,,,0.8333333333333334,0.7272727272727273,0.7692307692307693,0.7692307692307693,,
2025-06-27,AD8888.SHFE,AD8888,SHFE,19687.353,19852.652,19681.15,19764.056,6365,1260313650.0,9779,21032.486,18281.022,,,,Normal,19675.483799999998,0.003984839282619168,1.0582757335815063,0.5696646488772208,,,0.8333333333333334,0.9090909090909091,0.9285714285714286,0.9285714285714286,,
2025-06-30,AD8888.SHFE,AD8888,SHFE,19804.356,19808.007,19698.191,19777.987,2792,552146800.0,9831,21160.014,18389.512,,,,Normal,19699.645200000003,0.0007048654385517494,-0.2214014813032392,-0.2591740875605666,,,0.8333333333333334,0.9090909090909091,0.9333333333333333,0.9333333333333333,,
2025-07-01,AD8888.SHFE,AD8888,SHFE,19757.686,19834.595,19701.664,19801.355,3250,643129000.0,10089,21132.015,18369.905,,,,Normal,19739.2932,0.0011815155910457342,-0.618413389493052,-0.031176191264932297,,,0.8333333333333334,0.9090909090909091,0.9375,0.9375,,
2025-07-02,AD8888.SHFE,AD8888,SHFE,19809.151,19920.252,19791.862,19865.822,5446,1083600550.0,10472,21156.074,18385.13,,,,Normal,19778.9664,0.0032556862901553796,0.9273010848212992,0.8102779591967028,,,0.8333333333333334,0.9090909090909091,0.9411764705882353,0.9411764705882353,,
2025-07-03,AD8888.SHFE,AD8888,SHFE,19861.895,19963.79,19861.775,19944.121,4717,940165650.0,10914,21266.208,18483.767,,,,Normal,19830.6682,0.003941392407522892,0.9508218421136168,0.9380119365883258,,,0.8333333333333334,0.9090909090909091,0.9444444444444444,0.9444444444444444,,
2025-07-04,AD8888.SHFE,AD8888,SHFE,19926.587,19943.472,19813.842,19870.275,3867,769695750.0,10810,21308.424,18517.086,,,,Normal,19851.912,-0.0037026450050116066,-1.7822980490822977,-1.964192285668875,,,0.6666666666666666,0.8181818181818182,0.8947368421052632,0.8947368421052632,,
2025-07-07,AD8888.SHFE,AD8888,SHFE,19858.971,19859.407,19670.041,19729.609,4345,858625450.0,10018,21275.994,18493.341,,,,Normal,19842.2364,-0.007079217574995855,-1.553572849712877,-2.103751369034626,,,0.16666666666666666,0.36363636363636365,0.6,0.6,,
2025-07-08,AD8888.SHFE,AD8888,SHFE,19737.976,19872.074,19719.037,19832.468,3274,648587250.0,10275,21118.623,18356.177,,,,Normal,19848.459,0.005213433271789691,1.0121036940921277,1.1092748969164479,,,0.3333333333333333,0.6363636363636364,0.8095238095238095,0.8095238095238095,,
2025-07-09,AD8888.SHFE,AD8888,SHFE,19840.57,19867.982,19755.88,19812.454,2332,462477850.0,10161,21175.678,18403.12,,,,Normal,19837.7854,-0.0010091532733091935,-0.10458253018429918,-0.48313110294646283,,,0.3333333333333333,0.5454545454545454,0.7727272727272727,0.7727272727272727,,
2025-07-10,AD8888.SHFE,AD8888,SHFE,19810.279,19977.409,19776.52,19926.474,4716,940000500.0,10443,21200.957,18428.073,,,,Normal,19834.256,0.005754966043075571,1.1838624832386897,1.1542537853917374,,,0.8333333333333334,0.8181818181818182,0.9130434782608695,0.9130434782608695,,
2025-07-11,AD8888.SHFE,AD8888,SHFE,19931.24,20026.821,19900.243,19913.73,3198,638790500.0,10513,21310.222,18518.86,,,,Normal,19842.947000000004,-0.0006395511820103117,-0.23100845510938384,-0.36463252255562845,-0.49940292066675745,,0.6666666666666666,0.7272727272727273,0.8695652173913043,0.875,,
2025-07-14,AD8888.SHFE,AD8888,SHFE,19865.537,19932.301,19689.976,19787.082,4811,952138050.0,9951,21353.338,18561.057,,,,Normal,19854.4416,-0.00635983314025057,-1.5511993813469265,-1.458449281634272,-1.768744626609121,,0.16666666666666666,0.18181818181818182,0.6086956521739131,0.64,,
2025-07-15,AD8888.SHFE,AD8888,SHFE,19772.077,19811.103,19712.07,19776.536,2247,444315250.0,9982,21158.457,18385.8,,,,Normal,19843.2552,-0.0005329739877764084,0.006337373115448887,-0.09513868996979792,-0.3458457536158029,,0.16666666666666666,0.18181818181818182,0.5217391304347826,0.5769230769230769,,
2025-07-16,AD8888.SHFE,AD8888,SHFE,19772.46,19844.702,19743.29,19803.267,2046,405264450.0,10075,21141.28,18377.075,,,,Normal,19841.4178,0.0013516522812691,0.36840811954140096,0.3878519368437593,0.12903411294517428,,0.5,0.36363636363636365,0.6521739130434783,0.7037037037037037,,
2025-07-17,AD8888.SHFE,AD8888,SHFE,19772.195,19856.162,19747.766,19827.366,1940,384694000.0,9969,21179.832,18406.874,,,,Normal,19821.5962,0.001216920420251899,0.785963164974416,0.4403808275510514,0.1444243031029529,,0.6666666666666666,0.5454545454545454,0.6956521739130435,0.75,,
2025-07-18,AD8888.SHFE,AD8888,SHFE,19797.536,19928.121,19794.824,19860.537,3076,611088650.0,10051,21200.88,18428.344,,,,Normal,19810.9576,0.001672990754293835,0.7309093186592536,0.43031762071652035,0.36482298986487566,,0.8333333333333334,0.7272727272727273,0.7391304347826086,0.7931034482758621,,
2025-07-21,AD8888.SHFE,AD8888,SHFE,19883.55,20212.029,19882.304,20153.686,7352,1477865850.0,11548,21255.335,18473.054,,,,Normal,19884.2784,0.01476037631812277,1.9809886687310028,2.3822945226179133,2.9625457136445355,,0.8333333333333334,0.9090909090909091,0.9565217391304348,0.9666666666666667,,
2025-07-22,AD8888.SHFE,AD8888,SHFE,20121.916,20285.885,20116.509,20264.164,4694,948829000.0,11528,21497.019,18682.904,,,,Normal,19981.804,0.005481776385719117,0.11295218550464471,0.6234457497366142,0.8953034486708057,,0.8333333333333334,0.9090909090909091,0.9565217391304348,0.967741935483871,,
2025-07-23,AD8888.SHFE,AD8888,SHFE,20281.828,20333.584,20077.294,20147.11,3965,801387400.0,11008,21619.674,18786.558,,,,Normal,20050.5726,-0.005776404099374632,-1.377557648294595,-1.2944038235569595,-1.4655868639030647,,0.5,0.7272727272727273,0.8695652173913043,0.90625,,
2025-07-24,AD8888.SHFE,AD8888,SHFE,20139.882,20196.619,20054.597,20126.585,3071,618020700.0,10653,21610.273,18785.765,,,,Normal,20110.416400000002,-0.0010187565362973494,-0.5842526365039717,-0.36004923754055573,-0.47798827921041465,,0.3333333333333333,0.6363636363636364,0.8260869565217391,0.8787878787878788,,
2025-07-25,AD8888.SHFE,AD8888,SHFE,20124.812,20191.78,20081.414,20126.26,2166,436422900.0,10664,21525.546,18711.067,,,,Normal,20163.561,-1.6147796558674266e-05,-0.3850672785068397,-0.1941599442347985,-0.2315446961106053,,0.16666666666666666,0.5454545454545454,0.782608695652174,0.8529411764705882,,
