datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,CJ8888.CZCE,CJ8888,CZCE,9253.025,9322.754,9184.541,9243.774,51800,2398031125.0,136664,10181.45,8326.405,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,5.0,9258.807432432432
2025-01-03,CJ8888.CZCE,CJ8888,CZCE,9258.817,9258.887,9040.05,9127.739,86244,3933455600.0,139447,10203.048,8347.534,,,,Normal,,-0.012552773358587066,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.0,9121.691016186633
2025-01-06,CJ8888.CZCE,CJ8888,CZCE,9142.257,9205.083,9101.237,9131.725,42556,1947479725.0,138097,10051.662,8216.057,,,,Normal,,0.0004366908387718471,,,,,0.5,0.5,0.5,0.5,5.0,9152.550639157816
2025-01-07,CJ8888.CZCE,CJ8888,CZCE,9162.527,9163.067,9060.389,9128.294,43116,1960450375.0,136960,10075.959,8239.574,,,,Normal,,-0.00037572309722433417,,,,,0.4,0.4,0.4,0.4,5.0,9093.8416133222
2025-01-08,CJ8888.CZCE,CJ8888,CZCE,9109.388,9155.971,9081.325,9122.428,33480,1524756300.0,135692,10024.066,8197.233,,,,Normal,9150.792,-0.0006426173390120526,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,5.0,9108.460573476703
2025-01-09,CJ8888.CZCE,CJ8888,CZCE,9109.231,9151.533,9041.688,9120.836,46063,2090609425.0,137136,10037.669,8210.111,,,,Normal,9126.204399999999,-0.00017451494273246215,0.5016419888789289,,,,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,5.0,9077.174413303519
2025-01-10,CJ8888.CZCE,CJ8888,CZCE,9121.292,9180.507,8986.024,9149.945,94678,4289393025.0,136986,10016.869,8188.972,,,,Normal,9130.6456,0.0031914837631112913,1.9342276586871858,,,,0.8333333333333334,0.75,0.75,0.75,5.0,9061.013170958406
2025-01-13,CJ8888.CZCE,CJ8888,CZCE,9189.218,9294.473,9184.767,9206.722,58404,2689037575.0,136922,9997.693,8178.0,,,,Normal,9145.645,0.00620517391088149,1.7054713426349106,,,,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7777777777777778,5.0,9208.402078624751
2025-01-14,CJ8888.CZCE,CJ8888,CZCE,9216.478,9322.855,9185.252,9308.579,57459,2657894300.0,139102,10156.998,8308.347,,,,Normal,9181.702,0.01106332959765699,1.642349349815342,,,,0.8333333333333334,0.9,0.9,0.9,5.0,9251.446422666597
2025-01-15,CJ8888.CZCE,CJ8888,CZCE,9310.741,9422.859,9225.896,9255.996,57944,2680433600.0,139688,10204.525,8345.399,,,,Normal,9208.415599999998,-0.005648875086090022,-1.5152132827303766,,,,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.8181818181818182,5.0,9251.807262184178
2025-01-16,CJ8888.CZCE,CJ8888,CZCE,9269.068,9412.246,9257.718,9399.046,73583,3428355175.0,140297,10209.877,8350.839,,,,Normal,9264.0576,0.015454846782561482,1.3071895875648167,1.8201416749414971,,,0.8333333333333334,0.9090909090909091,0.9166666666666666,0.9166666666666666,5.0,9318.334873544161
2025-01-17,CJ8888.CZCE,CJ8888,CZCE,9372.875,9451.651,9340.785,9363.945,59421,2782249000.0,141141,10281.09,8410.173,,,,Normal,9306.8576,-0.0037345279510282436,-1.023997565728331,-1.0105632329776402,,,0.6666666666666666,0.8181818181818182,0.8461538461538461,0.8461538461538461,5.0,9364.531058043453
2025-01-20,CJ8888.CZCE,CJ8888,CZCE,9341.962,9391.29,9240.469,9347.171,56134,2605251825.0,139447,10331.654,8450.0,,,,Normal,9334.947400000001,-0.0017913390136314877,-0.5702066612417237,-0.6521820666686164,,,0.5,0.7272727272727273,0.7857142857142857,0.7857142857142857,5.0,9282.259682189047
2025-01-21,CJ8888.CZCE,CJ8888,CZCE,9331.026,9372.525,9300.067,9332.849,33146,1541997225.0,140178,10254.583,8382.938,,,,Normal,9339.8014,-0.0015322283073669896,-0.27394275862495204,-0.5877886658659076,,,0.3333333333333333,0.6363636363636364,0.7333333333333333,0.7333333333333333,5.0,9304.273366318712
2025-01-22,CJ8888.CZCE,CJ8888,CZCE,9331.509,9344.593,9280.543,9308.162,28561,1324211525.0,138758,10275.502,8403.244,,,,Normal,9350.2346,-0.0026451729798692147,-0.5276232494105741,-0.7169645495803229,,,0.16666666666666666,0.45454545454545453,0.625,0.625,5.0,9272.865270823851
