datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,FG8888.CZCE,FG8888,CZCE,1327.187,1347.729,1323.861,1338.779,533207,14258545420.0,925361,1466.37,1198.309,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,20.0,1337.0553481105837
2025-01-03,FG8888.CZCE,FG8888,CZCE,1336.763,1347.322,1324.732,1342.522,861379,22995112140.0,968912,1472.28,1204.019,,,,Normal,,0.0027958311267206604,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,20.0,1334.7848124925265
2025-01-06,FG8888.CZCE,FG8888,CZCE,1345.09,1363.232,1328.648,1336.915,1228667,33047237960.0,960418,1471.273,1202.873,,,,Normal,,-0.0041764678716623704,,,,,0.25,0.25,0.25,0.25,20.0,1344.841114801651
2025-01-07,FG8888.CZCE,FG8888,CZCE,1344.766,1355.496,1330.996,1336.842,799147,21434364360.0,992947,1482.184,1211.945,,,,Normal,,-5.460332182660732e-05,,,,,0.2,0.2,0.2,0.2,20.0,1341.0776965939933
2025-01-08,FG8888.CZCE,FG8888,CZCE,1334.414,1341.824,1296.279,1298.099,1159920,30403086440.0,1074915,1478.168,1207.891,,,,Normal,1330.6314,-0.028980986533936104,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,20.0,1310.5682478101937
2025-01-09,FG8888.CZCE,FG8888,CZCE,1300.1,1329.169,1296.117,1322.26,848094,22190314620.0,1060195,1446.294,1183.213,,,,Normal,1327.3276,0.0186126019664139,1.3630980895849891,,,,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.2857142857142857,20.0,1308.2461743627475
2025-01-10,FG8888.CZCE,FG8888,CZCE,1323.609,1328.005,1310.034,1313.24,636611,16745274920.0,1033613,1443.626,1180.774,,,,Normal,1321.4712,-0.006821653835100472,-0.16669589351251657,,,,0.3333333333333333,0.25,0.25,0.25,20.0,1315.1889395564951
2025-01-13,FG8888.CZCE,FG8888,CZCE,1318.918,1378.395,1314.446,1366.078,1245615,33501184220.0,992414,1451.465,1186.592,,,,Normal,1327.3038000000001,0.04023483902409297,1.5206654345164368,,,,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,20.0,1344.76480373149
2025-01-14,FG8888.CZCE,FG8888,CZCE,1364.8,1398.463,1358.205,1395.346,940460,25866162280.0,991929,1485.126,1214.121,,,,Normal,1339.0046,0.021424838113197175,0.5189579025275208,,,,0.8333333333333334,0.9,0.9,0.9,20.0,1375.1867320247538
2025-01-15,FG8888.CZCE,FG8888,CZCE,1395.216,1407.104,1384.59,1395.243,752648,20927011000.0,993637,1518.262,1241.224,,,,Normal,1358.4334,-7.381681676088547e-05,-0.8833255769063327,,,,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.8181818181818182,20.0,1390.2256433286211
2025-01-16,FG8888.CZCE,FG8888,CZCE,1398.028,1443.494,1388.148,1440.868,1098237,30864462820.0,1013055,1534.465,1255.296,,,,Normal,1382.155,0.03270039699177851,0.8336873494937688,1.283824607500934,,,0.8333333333333334,0.9090909090909091,0.9166666666666666,0.9166666666666666,20.0,1405.182252100412
