datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,FU8888.SHFE,FU8888,SHFE,3297.297,3308.041,3264.385,3268.839,447730,14837579530.0,448090,3487.177,3030.576,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,10.0,3313.9569673687265
2025-01-03,FU8888.SHFE,FU8888,SHFE,3295.989,3311.549,3285.042,3285.545,627097,20878692570.0,456948,3512.93,3053.816,,,,Normal,,0.005110683028439089,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,10.0,3329.4199414125724
2025-01-06,FU8888.SHFE,FU8888,SHFE,3295.012,3337.327,3289.822,3302.274,698200,23377710520.0,462425,3526.777,3065.928,,,,Normal,,0.005091697115699123,,,,,0.75,0.75,0.75,0.75,10.0,3348.2828014895445
2025-01-07,FU8888.SHFE,FU8888,SHFE,3321.591,3323.988,3264.281,3284.973,695761,23066002760.0,443385,3545.76,3081.406,,,,Normal,,-0.005239117044800068,,,,,0.4,0.4,0.4,0.4,10.0,3315.2192721351153
2025-01-08,FU8888.SHFE,FU8888,SHFE,3297.163,3320.988,3268.456,3310.923,802727,26638266750.0,459006,3516.122,3056.591,,,,Normal,3290.5108,0.007899608307282868,,,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,10.0,3318.4715040107035
2025-01-09,FU8888.SHFE,FU8888,SHFE,3318.387,3334.793,3262.713,3297.236,841975,27989097310.0,449874,3522.554,3061.011,,,,Normal,3296.1902,-0.0041338925731585485,-1.0965802199814985,,,,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,10.0,3324.219520769619
2025-01-10,FU8888.SHFE,FU8888,SHFE,3326.881,3373.909,3319.621,3373.212,774048,26116859060.0,494541,3533.541,3071.567,,,,Normal,3313.7236,0.023042330000036415,1.733866837796285,,,,0.8333333333333334,0.875,0.875,0.875,10.0,3374.0619522303527
2025-01-13,FU8888.SHFE,FU8888,SHFE,3457.09,3579.504,3455.449,3560.833,1183676,41945789290.0,509375,3582.973,3113.872,,,,Normal,3365.4354,0.05562087411049177,1.7828570268692012,,,,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,10.0,3543.688415579939
2025-01-14,FU8888.SHFE,FU8888,SHFE,3559.895,3566.224,3494.027,3500.021,993365,35317656770.0,445774,3822.708,3213.821,,,,Normal,3408.4449999999997,-0.017078026405619062,-1.202731335957247,,,,0.6666666666666666,0.8,0.8,0.8,10.0,3555.3554604802866
2025-01-15,FU8888.SHFE,FU8888,SHFE,3494.939,3500.589,3451.06,3467.09,818813,28776977580.0,426711,3758.324,3266.127,,,,Normal,3439.6784,-0.00940880069005301,-0.7126745189385061,,,,0.5,0.7272727272727273,0.7272727272727273,0.7272727272727273,10.0,3514.4749265094715
2025-01-16,FU8888.SHFE,FU8888,SHFE,3461.237,3576.783,3459.485,3557.958,973054,34767916600.0,426873,3713.449,3226.802,,,,Normal,3491.8228000000004,0.026208722588683786,0.4001894678488682,0.8649949757588457,,,0.6666666666666666,0.8181818181818182,0.8333333333333334,0.8333333333333334,10.0,3573.071648644371
2025-01-17,FU8888.SHFE,FU8888,SHFE,3527.84,3584.794,3501.175,3563.96,966294,34758680520.0,442338,3770.374,3276.872,,,,Normal,3529.9724,0.0016869226674400828,-0.36665707164862515,-0.3289238779945085,,,0.8333333333333334,0.9090909090909091,0.9230769230769231,0.9230769230769231,10.0,3597.112319852964
2025-01-20,FU8888.SHFE,FU8888,SHFE,3556.861,3586.451,3518.841,3528.374,853585,30880813180.0,435613,3786.225,3290.123,,,,Normal,3523.4806000000003,-0.009984960549501154,-0.544128031698246,-0.800355625460102,,,0.5,0.6363636363636364,0.7142857142857143,0.7142857142857143,10.0,3617.7783325620762
2025-01-21,FU8888.SHFE,FU8888,SHFE,3553.121,3583.298,3513.175,3529.349,932521,33759441590.0,442839,3793.607,3296.909,,,,Normal,3529.3462,0.0002763312505988935,-0.1126242081330527,-0.34318752753421067,,,0.5,0.6363636363636364,0.7333333333333333,0.7333333333333333,10.0,3620.2339239545277
2025-01-22,FU8888.SHFE,FU8888,SHFE,3494.26,3532.413,3484.481,3503.81,756545,27139400080.0,426082,3790.727,3294.421,,,,Normal,3536.6902,-0.00723617868337767,-0.7370197770800928,-0.6181321793036578,,,0.16666666666666666,0.45454545454545453,0.625,0.625,10.0,3587.2816659947525
2025-01-23,FU8888.SHFE,FU8888,SHFE,3508.477,3516.874,3459.493,3477.034,727323,25878124270.0,392977,3751.595,3260.758,,,,Normal,3520.5053999999996,-0.007641966887473872,-0.6573084509516449,-0.6151948012674323,,,0.16666666666666666,0.2727272727272727,0.5294117647058824,0.5294117647058824,10.0,3557.9961406417783
