datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,IC8888.CFFEX,IC8888,CFFEX,5649.02,5662.275,5428.014,5485.886,127655,142261520360.0,240356,6242.058,5107.362,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,200.0,5572.109214680193
2025-01-03,IC8888.CFFEX,IC8888,CFFEX,5498.155,5520.231,5359.9,5385.947,134187,146648519800.0,245771,6023.699,4928.672,,,,Normal,,-0.018217476630028484,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,200.0,5464.33409346658
2025-01-06,IC8888.CFFEX,IC8888,CFFEX,5381.574,5428.464,5336.979,5371.163,111692,120566995840.0,234620,5928.636,4850.86,,,,Normal,,-0.0027449211809920104,,,,,0.25,0.25,0.25,0.25,200.0,5397.2977402141605
2025-01-07,IC8888.CFFEX,IC8888,CFFEX,5370.849,5432.924,5348.189,5421.701,97522,105579744160.0,231790,5899.508,4827.064,,,,Normal,,0.009409135414434555,,,,,0.6,0.6,0.6,0.6,200.0,5413.124431410349
2025-01-08,IC8888.CFFEX,IC8888,CFFEX,5405.163,5450.774,5260.595,5401.517,138351,148797851560.0,247295,5952.506,4870.442,,,,Normal,5413.2428,-0.0037228168797948102,,,,,0.5,0.5,0.5,0.5,200.0,5377.548827258205
2025-01-09,IC8888.CFFEX,IC8888,CFFEX,5387.798,5436.506,5380.534,5389.457,82060,89111030800.0,231092,5958.389,4875.22,,,,Normal,5393.957,-0.002232706108302396,0.14453251545834875,,,,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,200.0,5429.62654155496
2025-01-10,IC8888.CFFEX,IC8888,CFFEX,5386.592,5443.19,5314.245,5315.235,96337,103991133920.0,235772,5938.166,4858.636,,,,Normal,5379.8146,-0.013771702789353468,-1.5173194841708542,,,,0.16666666666666666,0.125,0.125,0.125,200.0,5397.258266294362
2025-01-13,IC8888.CFFEX,IC8888,CFFEX,5277.406,5374.065,5270.673,5334.444,114246,122120300800.0,237396,5869.591,4802.516,,,,Normal,5372.4708,0.0036139512175850097,0.6384817620391292,,,,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,200.0,5344.620415594419
2025-01-14,IC8888.CFFEX,IC8888,CFFEX,5351.684,5544.435,5319.739,5520.754,151828,166170457960.0,247228,5854.314,4790.113,,,,Normal,5392.2814,0.03492585169138507,1.8822357333262636,,,,0.8333333333333334,0.9,0.9,0.9,200.0,5472.325854256132
2025-01-15,IC8888.CFFEX,IC8888,CFFEX,5511.054,5518.472,5458.962,5474.498,101214,111386974160.0,232177,6067.131,4964.115,,,,Normal,5406.8776,-0.00837856568142692,-0.6565429663919197,,,,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.7272727272727273,200.0,5502.547777975379
2025-01-16,IC8888.CFFEX,IC8888,CFFEX,5495.763,5591.748,5448.329,5484.863,130571,144434100800.0,244165,6015.658,4922.055,,,,Normal,5425.958799999999,0.0018933242828842456,-0.10428240743916516,0.1302729444134909,,,0.6666666666666666,0.8181818181818182,0.75,0.75,200.0,5530.864464544195
2025-01-17,IC8888.CFFEX,IC8888,CFFEX,5463.904,5574.803,5456.552,5538.635,122039,135049800440.0,235997,6084.043,4874.096,,,,Normal,5470.638800000001,0.009803708862007987,0.09871074281758599,0.5432733309307677,,,0.8333333333333334,0.9090909090909091,0.9230769230769231,0.9230769230769231,200.0,5533.059122083924
2025-01-20,IC8888.CFFEX,IC8888,CFFEX,5574.109,5625.518,5546.733,5562.336,88681,99288959040.0,222690,6092.02,4984.456,,,,Normal,5516.2172,0.004279213199642085,-0.29209146721868484,0.055300576289570975,,,0.8333333333333334,0.9090909090909091,0.9285714285714286,0.9285714285714286,200.0,5598.096494175754
2025-01-21,IC8888.CFFEX,IC8888,CFFEX,5590.697,5601.825,5517.216,5575.517,86212,95964204440.0,223584,6115.388,5003.729,,,,Normal,5527.169800000001,0.0023696878433807633,0.06378249128135824,-0.04079691868949184,,,0.8333333333333334,0.9090909090909091,0.9333333333333333,0.9333333333333333,200.0,5565.59437433304
2025-01-22,IC8888.CFFEX,IC8888,CFFEX,5559.274,5564.602,5491.443,5554.238,88153,97708761160.0,224912,6123.298,5010.013,,,,Normal,5543.1178,-0.0038165070611387852,-1.5344141672639238,-0.5363366677191511,,,0.5,0.7272727272727273,0.8125,0.8125,200.0,5541.998636461606
2025-01-23,IC8888.CFFEX,IC8888,CFFEX,5605.944,5682.138,5517.148,5520.701,130725,146636760200.0,241845,6096.788,4988.434,,,,Normal,5550.2854,-0.0060380919938972655,-1.2911918910369253,-0.672902499979387,,,0.16666666666666666,0.45454545454545453,0.6470588235294118,0.6470588235294118,200.0,5608.596680053548
2025-01-24,IC8888.CFFEX,IC8888,CFFEX,5522.155,5626.978,5517.57,5616.73,116184,130063096000.0,228796,6083.79,4977.743,,,,Normal,5565.9044,0.017394349014735466,1.7724286925343857,0.9736662361060934,,,0.8333333333333334,0.9090909090909091,0.9444444444444444,0.9444444444444444,200.0,5597.289471872203
2025-01-27,IC8888.CFFEX,IC8888,CFFEX,5623.366,5636.191,5506.57,5513.655,93397,104269465200.0,224962,6166.773,5045.753,,,,Normal,5556.1682,-0.018351425117461573,-1.4270345276695269,-1.5433307068195234,,,0.16666666666666666,0.2727272727272727,0.5789473684210527,0.5789473684210527,200.0,5582.056447209226
2025-02-05,IC8888.CFFEX,IC8888,CFFEX,5572.772,5590.226,5519.4,5545.025,93531,104145959320.0,225031,6097.984,4989.378,,,,Normal,5550.069799999999,0.0056895108598560284,0.5604747847650658,0.5443734025244525,,,0.5,0.5454545454545454,0.75,0.75,200.0,5567.456742684244
2025-02-06,IC8888.CFFEX,IC8888,CFFEX,5534.53,5703.309,5527.112,5688.233,109202,123447606200.0,230919,6097.017,4988.599,,,,Normal,5576.868799999999,0.02582639392969388,1.3206443830382903,1.879142657704065,,,0.8333333333333334,0.9090909090909091,0.9523809523809523,0.9523809523809523,200.0,5652.259400010988
2025-02-07,IC8888.CFFEX,IC8888,CFFEX,5690.362,5852.281,5678.698,5783.881,141171,163278786840.0,243129,6254.469,5117.485,,,,Normal,5629.504800000001,0.016815063658608853,0.4793170585977317,0.9318849669971906,,,0.8333333333333334,0.9090909090909091,0.9545454545454546,0.9545454545454546,200.0,5783.014459060289
2025-02-10,IC8888.CFFEX,IC8888,CFFEX,5813.415,5838.582,5778.903,5819.63,92141,107253240760.0,225377,6328.56,5178.171,,,,Normal,5670.0848,0.006180797979764785,-0.07101937401469154,0.09415701903395926,,,0.8333333333333334,0.9090909090909091,0.9565217391304348,0.9565217391304348,200.0,5820.060600601252
2025-02-11,IC8888.CFFEX,IC8888,CFFEX,5821.354,5822.049,5756.789,5796.434,85636,99315803400.0,223308,6403.404,5239.262,,,,Normal,5726.640600000001,-0.003985820404389995,-1.3743117571687096,-0.6570992749116872,-0.510920883741066,,0.6666666666666666,0.8181818181818182,0.9130434782608695,0.9166666666666666,200.0,5798.718027465085
2025-02-12,IC8888.CFFEX,IC8888,CFFEX,5781.323,5886.837,5779.498,5875.939,102061,119353572640.0,227197,6370.706,5212.598,,,,Normal,5792.8234,0.01371619171373295,0.19931686694719516,0.6559916380215185,0.7916452332889586,,0.8333333333333334,0.9090909090909091,0.9565217391304348,0.96,200.0,5847.16848943279
2025-02-13,IC8888.CFFEX,IC8888,CFFEX,5866.162,5888.303,5821.954,5844.814,104672,122857674280.0,225202,6444.771,5273.142,,,,Normal,5824.1396,-0.005297025717932113,-1.20172852592417,-0.8147515676834595,-0.7497228642758286,,0.6666666666666666,0.8181818181818182,0.9130434782608695,0.9230769230769231,200.0,5868.698137037603
2025-02-14,IC8888.CFFEX,IC8888,CFFEX,5846.616,5902.079,5824.976,5894.202,107886,126931081440.0,227072,6435.622,5265.626,,,,Normal,5846.2038,0.008449883948402848,0.6322046956689248,0.1464096285874961,0.3720956739046664,,0.8333333333333334,0.9090909090909091,0.9565217391304348,0.9629629629629629,200.0,5882.648417774318
2025-02-17,IC8888.CFFEX,IC8888,CFFEX,5925.741,5927.783,5829.178,5876.135,108748,128215532680.0,226700,6469.93,5293.774,,,,Normal,5857.504800000001,-0.003065215613580974,-0.6562592960327459,-0.6345092359637952,-0.5687899753185842,,0.6666666666666666,0.8181818181818182,0.9130434782608695,0.9285714285714286,200.0,5895.075434950528
2025-02-18,IC8888.CFFEX,IC8888,CFFEX,5866.47,5885.016,5750.715,5788.001,115860,135553603680.0,229117,6448.555,5276.322,,,,Normal,5855.8182,-0.014998634306393588,-1.4449977603516828,-1.738263383178836,-1.4286449928276548,,0.16666666666666666,0.36363636363636365,0.6956521739130435,0.7586206896551724,200.0,5849.887954427758
2025-02-19,IC8888.CFFEX,IC8888,CFFEX,5784.11,5887.459,5771.064,5876.997,115182,135083467880.0,226318,6358.466,5202.655,,,,Normal,5856.0298,0.015375947585358096,1.4311413518674916,0.7967701418303813,0.8580161487343085,,0.6666666666666666,0.8181818181818182,0.9130434782608695,0.9333333333333333,200.0,5863.913974405723
2025-02-20,IC8888.CFFEX,IC8888,CFFEX,5862.264,5909.642,5843.349,5879.425,104413,123072872440.0,216513,6459.727,5285.321,,,,Normal,5862.952,0.00041313616460914027,-0.07947571661696956,-0.29735069261260855,-0.3270208476233249,,0.6666666666666666,0.8181818181818182,0.9130434782608695,0.9354838709677419,200.0,5893.5607845766335
2025-02-21,IC8888.CFFEX,IC8888,CFFEX,5891.077,6002.015,5866.121,5983.924,122479,146028916000.0,224277,6509.766,5262.418,,,,Normal,5880.8964,0.017773676847650854,1.2071615119025925,1.42528856688695,1.2703547603475316,,0.8333333333333334,0.9090909090909091,0.9565217391304348,0.96875,200.0,5961.385870230815
2025-02-24,IC8888.CFFEX,IC8888,CFFEX,5977.386,5981.055,5909.235,5944.577,100067,119237769400.0,212304,6582.792,5386.157,,,,Normal,5894.5848000000005,-0.006575451158804757,-0.7129916710624173,-0.8402227875390571,-0.9467117172900857,,0.6666666666666666,0.8181818181818182,0.9130434782608695,0.9393939393939394,200.0,5957.896679224919
