datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,L8888.DCE,L8888,DCE,8196.122,8215.992,8146.161,8175.335,337143,13790448645.0,640619,8657.661,7678.349,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,5.0,8180.771153486799
2025-01-03,L8888.DCE,L8888,DCE,8170.624,8186.462,8091.48,8093.166,451686,18365432375.0,628020,8668.141,7687.512,,,,Normal,,-0.010050841953265555,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.0,8131.946695270608
2025-01-06,L8888.DCE,L8888,DCE,8085.833,8101.612,7945.753,7952.578,648574,26014126600.0,662179,8617.249,7642.697,,,,Normal,,-0.017371199355110223,,,,,0.25,0.25,0.25,0.25,5.0,8021.945560568262
2025-01-07,L8888.DCE,L8888,DCE,7960.641,7983.735,7891.234,7900.501,454671,18014110665.0,644354,8501.082,7538.912,,,,Normal,,-0.006548442530208476,,,,,0.2,0.2,0.2,0.2,5.0,7924.020078254386
2025-01-08,L8888.DCE,L8888,DCE,7909.469,7931.098,7862.948,7874.603,365714,14427510800.0,627559,8400.933,7450.598,,,,Normal,7999.236600000001,-0.0032780199635441543,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,5.0,7890.051132852447
2025-01-09,L8888.DCE,L8888,DCE,7877.227,7917.265,7858.711,7883.811,350820,13812071815.0,620698,8365.901,7419.328,,,,Normal,7940.9318,0.0011693287902894145,1.3344071872975194,,,,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.2857142857142857,5.0,7874.164423351006
2025-01-10,L8888.DCE,L8888,DCE,7876.135,7935.564,7870.957,7915.147,322292,12726464390.0,613480,8350.368,7405.832,,,,Normal,7905.3279999999995,0.003974727450975157,1.130119359956643,,,,0.6666666666666666,0.5,0.5,0.5,5.0,7897.474582056024
2025-01-13,L8888.DCE,L8888,DCE,7942.992,8010.007,7910.45,7922.492,475666,18899908960.0,612863,8376.46,7429.769,,,,Normal,7899.310799999999,0.0009279676043920659,0.4524731198594059,,,,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.5555555555555556,5.0,7946.714274301716
2025-01-14,L8888.DCE,L8888,DCE,7929.086,7932.098,7863.652,7867.805,468950,18500390810.0,660302,8426.276,7473.814,,,,Normal,7892.7716,-0.006902752315811722,-1.5909922244137336,,,,0.16666666666666666,0.1,0.1,0.1,5.0,7890.1336219213135
2025-01-15,L8888.DCE,L8888,DCE,7857.102,7906.762,7834.821,7883.737,377816,14863815235.0,648501,8366.039,7419.633,,,,Normal,7894.5984,0.0020249612185354593,0.4791072842961763,,,,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.2727272727272727,5.0,7868.282568763631
2025-01-16,L8888.DCE,L8888,DCE,7880.744,7928.229,7818.006,7855.162,475353,18716168810.0,650718,8338.851,7396.553,,,,Normal,7888.8686,-0.0036245501340290698,-0.7309499338126905,0.05555873028828583,,,0.16666666666666666,0.09090909090909091,0.08333333333333333,0.08333333333333333,5.0,7874.640029620093
2025-01-17,L8888.DCE,L8888,DCE,7844.381,7899.101,7808.637,7880.316,427467,16788859580.0,621001,8348.495,7404.19,,,,Normal,7881.902400000001,0.0032022254919756854,1.072967037043004,0.9497515609856846,,,0.5,0.36363636363636365,0.3076923076923077,0.3076923076923077,5.0,7855.043584650979
2025-01-20,L8888.DCE,L8888,DCE,7871.373,7887.114,7784.921,7831.524,451300,17665353270.0,627065,8324.872,7382.747,,,,Normal,7863.7088,-0.00619162987880173,-0.9329978717404387,-1.159935932076523,,,0.16666666666666666,0.09090909090909091,0.07142857142857142,0.07142857142857142,5.0,7828.652014181254
2025-01-21,L8888.DCE,L8888,DCE,7823.445,7876.266,7805.501,7807.455,344058,13475021375.0,634131,8297.68,7359.608,,,,Normal,7851.638800000001,-0.0030733481759106507,-0.4322740013639589,-0.5107497686178906,,,0.16666666666666666,0.09090909090909091,0.06666666666666667,0.06666666666666667,5.0,7832.994073673624
2025-01-22,L8888.DCE,L8888,DCE,7799.705,7812.117,7762.433,7775.254,331525,12899188620.0,644439,8301.463,7363.419,,,,Normal,7829.9421999999995,-0.004124391366969182,-0.4305837107091479,-0.7595620623978555,,,0.16666666666666666,0.09090909090909091,0.0625,0.0625,5.0,7781.729052107684
