datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,M8888.DCE,M8888,DCE,2774.768,2785.824,2758.608,2770.362,1455869,40017169320.0,4137239,2913.671,2585.211,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,10.0,2748.679264411839
2025-01-03,M8888.DCE,M8888,DCE,2773.233,2782.553,2727.835,2744.052,2325332,63424309620.0,4145325,2941.312,2608.902,,,,Normal,,-0.009496953827694665,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.0,2727.537814815261
2025-01-06,M8888.DCE,M8888,DCE,2736.245,2771.274,2712.728,2757.704,2422236,65736071490.0,4177073,2924.863,2594.402,,,,Normal,,0.004975124378109541,,,,,0.5,0.5,0.5,0.5,10.0,2713.8590744254484
2025-01-07,M8888.DCE,M8888,DCE,2769.861,2773.365,2703.29,2709.985,2145639,57960425590.0,4262654,2908.669,2581.101,,,,Normal,,-0.017303887581843425,,,,,0.2,0.2,0.2,0.2,10.0,2701.3130163088945
2025-01-08,M8888.DCE,M8888,DCE,2710.751,2735.914,2700.895,2710.936,1612972,43319835690.0,4282094,2896.908,2569.627,,,,Normal,2738.6078,0.0003509244516113341,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.0,2685.715293879869
2025-01-09,M8888.DCE,M8888,DCE,2707.101,2712.421,2680.3,2684.381,1710889,45623726480.0,4316968,2882.291,2556.603,,,,Normal,2721.4116,-0.009795509742760555,-0.446267581931617,,,,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,10.0,2666.6678247390682
2025-01-10,M8888.DCE,M8888,DCE,2685.944,2729.15,2683.469,2722.84,1780822,47694354320.0,4305897,2857.488,2535.372,,,,Normal,2717.1692,0.014326952843132235,1.4267706522779433,,,,0.6666666666666666,0.5,0.5,0.5,10.0,2678.221311282093
2025-01-13,M8888.DCE,M8888,DCE,2729.414,2806.838,2713.389,2803.68,2147109,58849147220.0,4346161,2871.127,2546.923,,,,Normal,2726.3644,0.02968958881168171,1.5553977440056646,,,,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,10.0,2740.8551321800614
2025-01-14,M8888.DCE,M8888,DCE,2804.577,2844.933,2795.737,2817.468,2004249,55820363700.0,4390171,2939.501,2607.636,,,,Normal,2747.861,0.0049178222907035885,-0.22273258227821913,,,,0.8333333333333334,0.9,0.9,0.9,10.0,2785.101237421099
2025-01-15,M8888.DCE,M8888,DCE,2807.942,2838.692,2804.16,2835.271,1620322,45160977310.0,4409767,2984.458,2646.932,,,,Normal,2772.728,0.006318794037767361,-0.21475140301303028,,,,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,10.0,2787.160657573001
2025-01-16,M8888.DCE,M8888,DCE,2829.998,2854.953,2809.34,2825.628,1810033,50535583480.0,4423184,2990.516,2653.013,,,,Normal,2800.9774,-0.003401085822131278,-1.2320706510032156,-0.4275374815193781,,,0.6666666666666666,0.8181818181818182,0.8333333333333334,0.8333333333333334,10.0,2791.9702834147224
2025-01-17,M8888.DCE,M8888,DCE,2818.345,2852.098,2798.062,2844.135,1926350,53806544430.0,4442920,2996.178,2658.124,,,,Normal,2825.2364000000002,0.006549694439607734,-0.20483072796746837,0.2363892542767948,,,0.8333333333333334,0.9090909090909091,0.9230769230769231,0.9230769230769231,10.0,2793.186307265035
2025-01-20,M8888.DCE,M8888,DCE,2843.265,2881.275,2834.352,2878.429,2184917,61755965380.0,4389500,2996.173,2657.907,,,,Normal,2840.1862,0.01205779613133684,1.3586194025799065,0.616389300496558,,,0.8333333333333334,0.9090909090909091,0.9285714285714286,0.9285714285714286,10.0,2826.467338576248
2025-01-21,M8888.DCE,M8888,DCE,2879.017,2932.184,2866.502,2913.802,2706222,77957028480.0,4382787,3026.742,2685.017,,,,Normal,2859.453,0.012288995142836656,0.9704785168059507,0.48151962027414247,,,0.8333333333333334,0.9090909090909091,0.9333333333333333,0.9333333333333333,10.0,2880.659032407541
2025-01-22,M8888.DCE,M8888,DCE,2911.719,2929.44,2887.019,2907.112,2304362,66589901760.0,4376967,3068.47,2722.382,,,,Normal,2873.8212000000003,-0.0022959693211824783,-1.0836290145245184,-0.8911025401515714,,,0.6666666666666666,0.8181818181818182,0.875,0.875,10.0,2889.7326791537093
2025-01-23,M8888.DCE,M8888,DCE,2907.949,2932.559,2888.272,2899.175,2170394,62886326450.0,4321237,3084.169,2736.558,,,,Normal,2888.5306,-0.0027302009692092843,-1.196574641508994,-1.1007312931360644,,,0.5,0.7272727272727273,0.8235294117647058,0.8235294117647058,10.0,2897.461311172073
