datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,P8888.DCE,P8888,DCE,8668.062,8833.037,8472.443,8488.334,1308559,113351307380.0,629513,9290.849,8077.474,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,10.0,8662.300085819592
2025-01-03,P8888.DCE,P8888,DCE,8476.353,8563.755,8381.161,8532.238,1404553,119266682520.0,606142,9252.626,8044.555,,,,Normal,,0.0051722752662652915,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,10.0,8491.433396959745
2025-01-06,P8888.DCE,P8888,DCE,8531.234,8633.625,8470.843,8477.852,1127282,96546258860.0,592405,9071.849,7887.835,,,,Normal,,-0.006374177560447669,,,,,0.25,0.25,0.25,0.25,10.0,8564.517029456692
2025-01-07,P8888.DCE,P8888,DCE,8525.644,8739.032,8460.068,8712.085,1336438,114734371720.0,625739,9141.537,7947.049,,,,Normal,,0.02762881446857035,,,,,0.8,0.8,0.8,0.8,10.0,8585.087502749848
2025-01-08,P8888.DCE,P8888,DCE,8696.427,8758.677,8598.135,8609.798,1135136,98607888680.0,602046,9166.55,7967.891,,,,Normal,8564.0614,-0.011740817496615152,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,10.0,8686.878812759
2025-01-09,P8888.DCE,P8888,DCE,8631.581,8634.237,8401.96,8413.376,1139291,96946804760.0,598341,9272.591,8059.926,,,,Normal,8549.069800000001,-0.022813775654202395,-1.233277013767025,,,,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,10.0,8509.3979290629
2025-01-10,P8888.DCE,P8888,DCE,8432.252,8537.51,8396.573,8510.372,984552,83630304780.0,572952,9088.51,7901.612,,,,Normal,8544.6966,0.011528784640077783,0.6654084984235954,,,,0.5,0.5,0.5,0.5,10.0,8494.249646539745
2025-01-13,P8888.DCE,P8888,DCE,8538.492,8796.644,8536.648,8731.519,1070332,93118652780.0,583144,9068.515,7882.707,,,,Normal,8595.43,0.025985585588973237,0.9829562837543244,,,,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,10.0,8699.978397357081
2025-01-14,P8888.DCE,P8888,DCE,8698.472,8734.897,8638.538,8677.625,754062,65719124060.0,588597,9277.727,8065.8,,,,Normal,8588.538,-0.00617235099643032,-0.31899819558756254,,,,0.6666666666666666,0.7,0.7,0.7,10.0,8715.347552323285
2025-01-15,P8888.DCE,P8888,DCE,8662.502,8679.829,8444.396,8458.92,1040675,89466976080.0,605366,9299.719,8084.68,,,,Normal,8558.3624,-0.025203324642399272,-1.1083895744003525,,,,0.3333333333333333,0.18181818181818182,0.18181818181818182,0.18181818181818182,10.0,8597.014061066135
