datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,PB8888.SHFE,PB8888,SHFE,16842.525,16909.617,16744.421,16825.798,39126,3290371700.0,82160,17938.288,15593.133,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,5.0,16819.36154986454
2025-01-03,PB8888.SHFE,PB8888,SHFE,16792.146,16855.954,16629.29,16687.355,58766,4915561175.0,82866,17993.768,15639.202,,,,Normal,,-0.008228019853798285,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.0,16729.26922029745
2025-01-06,PB8888.SHFE,PB8888,SHFE,16645.19,16816.019,16629.438,16735.93,54013,4521222000.0,80290,17897.238,15552.605,,,,Normal,,0.0029108867163190055,,,,,0.5,0.5,0.5,0.5,5.0,16741.236369022274
2025-01-07,PB8888.SHFE,PB8888,SHFE,16801.465,16812.979,16666.127,16726.343,41011,3431175275.0,77238,17909.964,15564.96,,,,Normal,,-0.0005728393940461762,,,,,0.4,0.4,0.4,0.4,5.0,16732.951037526516
2025-01-08,PB8888.SHFE,PB8888,SHFE,16753.46,16805.501,16702.212,16732.503,34762,2911562000.0,76641,17902.038,15557.37,,,,Normal,16741.5858,0.00036828133920252526,,,,,0.5,0.5,0.5,0.5,5.0,16751.406708474773
2025-01-09,PB8888.SHFE,PB8888,SHFE,16684.184,16691.651,16467.435,16512.251,75545,6260995450.0,78390,17919.839,15574.824,,,,Normal,16678.8764,-0.01316312329362801,-1.5706746589025513,,,,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,5.0,16575.538950294525
2025-01-10,PB8888.SHFE,PB8888,SHFE,16474.69,16631.259,16327.075,16597.221,90198,7427765850.0,81187,17727.446,15408.318,,,,Normal,16660.849599999998,0.005145876234560642,0.9741954950457105,,,,0.3333333333333333,0.25,0.25,0.25,5.0,16469.912525776625
2025-01-13,PB8888.SHFE,PB8888,SHFE,16645.334,16717.252,16523.896,16568.008,65347,5425805450.0,81691,17623.055,15318.007,,,,Normal,16627.2652,-0.0017601139371464791,0.039013518960032224,,,,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,5.0,16606.134788131054
2025-01-14,PB8888.SHFE,PB8888,SHFE,16538.289,16570.224,16430.189,16518.717,65192,5375760900.0,83034,17760.649,15435.946,,,,Normal,16585.74,-0.0029750709922400365,-0.08277406208850416,,,,0.3333333333333333,0.2,0.2,0.2,5.0,16492.087679469874
2025-01-15,PB8888.SHFE,PB8888,SHFE,16552.584,16685.054,16517.159,16542.134,79154,6566087750.0,79208,17641.169,15335.173,,,,Normal,16547.6662,0.0014176040427351655,0.6008697263370149,,,,0.5,0.2727272727272727,0.2727272727272727,0.2727272727272727,5.0,16590.66566440104
2025-01-16,PB8888.SHFE,PB8888,SHFE,16519.365,16660.977,16479.581,16649.475,56788,4707971000.0,74873,17750.269,15425.27,,,,Normal,16575.111,0.006488945138517277,1.3017203788595502,1.3268457403202834,,,0.8333333333333334,0.5454545454545454,0.5,0.5,5.0,16580.86567584701
