datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,PP8888.DCE,PP8888,DCE,7476.14,7503.497,7461.128,7491.797,286689,10729245515.0,540191,7888.34,6996.572,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,5.0,7484.936997931556
2025-01-03,PP8888.DCE,PP8888,DCE,7495.857,7499.241,7427.3,7429.205,325398,12143279700.0,521852,7934.281,7036.756,,,,Normal,,-0.008354737855283512,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.0,7463.647410248373
2025-01-06,PP8888.DCE,PP8888,DCE,7420.528,7446.959,7348.368,7351.763,478966,17699815225.0,509646,7909.945,7016.101,,,,Normal,,-0.01042399556883944,,,,,0.25,0.25,0.25,0.25,5.0,7390.84412045949
2025-01-07,PP8888.DCE,PP8888,DCE,7365.204,7376.826,7314.005,7321.406,319106,11709098925.0,516682,7831.874,6946.219,,,,Normal,,-0.004129213632158679,,,,,0.2,0.2,0.2,0.2,5.0,7338.689291332661
2025-01-08,PP8888.DCE,PP8888,DCE,7337.455,7347.757,7304.795,7309.686,279744,10243017935.0,548941,7777.878,6898.051,,,,Normal,7380.7714,-0.0016007854229092011,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,5.0,7323.136821522535
2025-01-09,PP8888.DCE,PP8888,DCE,7310.979,7359.2,7307.843,7342.548,302828,11101795290.0,551434,7760.443,6882.613,,,,Normal,7350.9216,0.004495678747349796,1.6165624912943357,,,,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,5.0,7332.07978786638
2025-01-10,PP8888.DCE,PP8888,DCE,7352.461,7384.09,7339.95,7360.491,233047,8581288750.0,538792,7769.59,6891.531,,,,Normal,7337.1788,0.0024437021045011775,0.8175058050710698,,,,0.8333333333333334,0.625,0.625,0.625,5.0,7364.427561822294
2025-01-13,PP8888.DCE,PP8888,DCE,7388.424,7456.563,7386.365,7431.864,421641,15654329805.0,522267,7804.382,6922.351,,,,Normal,7353.198999999999,0.009696771587656361,1.5600988230867514,,,,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7777777777777778,5.0,7425.430546365273
2025-01-14,PP8888.DCE,PP8888,DCE,7436.836,7445.777,7415.161,7422.882,270572,10055523210.0,519453,7868.684,6978.867,,,,Normal,7373.494199999999,-0.0012085797049030678,-0.9582160672356259,,,,0.6666666666666666,0.6,0.6,0.6,5.0,7432.789209526484
2025-01-15,PP8888.DCE,PP8888,DCE,7423.83,7449.452,7408.225,7439.432,240349,8930949815.0,518504,7875.918,6986.041,,,,Normal,7399.443399999999,0.002229592225768906,-0.3630628699028461,,,,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.8181818181818182,5.0,7431.651319539503
2025-01-16,PP8888.DCE,PP8888,DCE,7439.701,7489.83,7432.876,7465.027,376971,14064676940.0,503896,7876.128,6986.23,,,,Normal,7423.939199999999,0.0034404508301171255,0.03378580982899767,0.6529751804265378,,,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8333333333333334,5.0,7461.941072390184
2025-01-17,PP8888.DCE,PP8888,DCE,7463.022,7483.943,7419.912,7466.76,283663,10574716680.0,497105,7907.263,7013.452,,,,Normal,7445.192999999999,0.00023214919383418575,-0.7024873780421642,-0.05553803812639547,,,0.8333333333333334,0.9090909090909091,0.8461538461538461,0.8461538461538461,5.0,7455.830813324262
2025-01-20,PP8888.DCE,PP8888,DCE,7468.73,7474.055,7429.326,7442.738,276367,10293726660.0,482494,7902.571,7008.693,,,,Normal,7447.3678,-0.0032171919279579964,-1.4780577045366343,-1.1384517712068136,,,0.5,0.7272727272727273,0.7142857142857143,0.7142857142857143,5.0,7449.3167852891265
2025-01-21,PP8888.DCE,PP8888,DCE,7443.414,7456.337,7398.148,7398.977,284806,10583106475.0,481531,7893.554,7001.553,,,,Normal,7442.5868,-0.005879691049181179,-1.5161438722224625,-1.6610381422467773,,,0.16666666666666666,0.36363636363636365,0.4,0.4,5.0,7431.8002254165995
2025-01-22,PP8888.DCE,PP8888,DCE,7389.976,7393.72,7351.606,7357.591,287215,10580130915.0,475588,7875.636,6985.619,,,,Normal,7426.2186,-0.005593475962960781,-0.9488444731191985,-1.36440077477468,,,0.16666666666666666,0.18181818181818182,0.3125,0.3125,5.0,7367.394401406612
2025-01-23,PP8888.DCE,PP8888,DCE,7358.971,7383.163,7319.731,7332.704,261351,9597797080.0,489095,7807.697,6923.969,,,,Normal,7399.753999999999,-0.0033824929926113967,0.08465665633194075,-0.7182776212082976,,,0.16666666666666666,0.09090909090909091,0.17647058823529413,0.17647058823529413,5.0,7344.756346828594
2025-01-24,PP8888.DCE,PP8888,DCE,7333.698,7358.786,7327.402,7334.311,194873,7153933660.0,482585,7783.775,6903.934,,,,Normal,7373.2642000000005,0.0002191551711345774,1.731775202614045,0.12681247911926113,,,0.3333333333333333,0.18181818181818182,0.2222222222222222,0.2222222222222222,5.0,7342.149666706008
2025-01-27,PP8888.DCE,PP8888,DCE,7344.393,7404.554,7333.028,7379.007,237828,8762268925.0,448529,7929.075,6755.308,,,,Normal,7360.517999999999,0.006094096637025537,1.745665606236683,1.8295929431163467,,,0.6666666666666666,0.36363636363636365,0.47368421052631576,0.47368421052631576,5.0,7368.576387136923
2025-02-05,PP8888.DCE,PP8888,DCE,7360.365,7378.866,7339.357,7345.028,191051,7026800365.0,466269,7957.575,6779.803,,,,Normal,7349.7282000000005,-0.0046048201336574834,-0.740490931986775,-0.9128943291018242,,,0.5,0.2727272727272727,0.3,0.3,5.0,7355.941989311755
2025-02-06,PP8888.DCE,PP8888,DCE,7344.033,7352.785,7317.944,7338.219,239723,8793835990.0,500770,7795.905,6914.07,,,,Normal,7345.8538,-0.0009270216532871745,-0.10924107501686883,0.11612141138442422,,,0.5,0.2727272727272727,0.23809523809523808,0.23809523809523808,5.0,7336.664391818891
2025-02-07,PP8888.DCE,PP8888,DCE,7339.736,7423.936,7338.183,7398.964,320217,11822427505.0,487104,7776.049,6896.172,,,,Normal,7359.105799999999,0.008277894132077579,1.3701245779948237,2.0087271978858827,,,0.8333333333333334,0.6363636363636364,0.5454545454545454,0.5454545454545454,5.0,7384.009908905524
2025-02-10,PP8888.DCE,PP8888,DCE,7392.419,7428.343,7387.686,7410.518,253124,9376668265.0,497636,7826.092,6940.438,,,,Normal,7374.347200000001,0.001561569971147314,-0.11135222311063847,0.5006344776125059,,,0.8333333333333334,0.8181818181818182,0.6086956521739131,0.6086956521739131,5.0,7408.754811870862
2025-02-11,PP8888.DCE,PP8888,DCE,7412.553,7428.484,7401.577,7427.901,211672,7849674770.0,494261,7851.887,6963.971,,,,Normal,7384.125999999999,0.002345719961816428,0.23968338217485366,0.5496355260992536,0.5411049983632277,,0.8333333333333334,0.9090909090909091,0.6956521739130435,0.6666666666666666,5.0,7416.828649986772
2025-02-12,PP8888.DCE,PP8888,DCE,7437.052,7448.453,7419.954,7443.661,230383,8570359260.0,482288,7860.417,6970.819,,,,Normal,7403.8526,0.002121729947666351,-0.18268816006680605,0.3568127114828431,0.42653811978472733,,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.84,5.0,7440.096934235599
2025-02-13,PP8888.DCE,PP8888,DCE,7440.781,7442.227,7360.451,7370.634,299450,11072939710.0,484049,7884.993,6993.119,,,,Normal,7410.3356,-0.009810629473857024,-1.8198345133283567,-2.009916974150265,-2.123420535252089,,0.16666666666666666,0.45454545454545453,0.43478260869565216,0.4230769230769231,5.0,7395.518256804141
2025-02-14,PP8888.DCE,PP8888,DCE,7370.28,7418.196,7364.066,7393.172,237956,8799228235.0,484456,7837.711,6951.789,,,,Normal,7409.1772,0.0030578102236522575,0.6594160235835682,0.45510105290143676,0.5632931131688232,,0.3333333333333333,0.5454545454545454,0.4782608695652174,0.48148148148148145,5.0,7395.676709139505
2025-02-17,PP8888.DCE,PP8888,DCE,7394.652,7418.23,7374.363,7415.652,236791,8756431770.0,477914,7838.08,6952.13,,,,Normal,7410.204,0.0030406434477650013,0.5785331051526724,0.3908451644309513,0.5131238385226902,,0.5,0.7272727272727273,0.6086956521739131,0.6071428571428571,5.0,7395.916035660139
2025-02-18,PP8888.DCE,PP8888,DCE,7415.237,7420.153,7393.384,7410.533,183211,6785512490.0,474089,7838.049,6952.072,,,,Normal,7406.7304,-0.0006902966859825277,-0.04803970855855512,-0.24236560818088085,-0.2455526626991945,,0.5,0.6363636363636364,0.5652173913043478,0.5862068965517241,5.0,7407.319964412617
2025-02-19,PP8888.DCE,PP8888,DCE,7410.496,7422.435,7395.919,7412.901,191259,7087425615.0,478581,7850.403,6962.529,,,,Normal,7400.5784,0.00031954516631937935,0.23995638149860005,-0.1404950426254574,-0.002933696746953495,,0.6666666666666666,0.6363636363636364,0.5652173913043478,0.6,5.0,7411.338148792998
2025-02-20,PP8888.DCE,PP8888,DCE,7413.343,7423.977,7392.95,7409.317,193058,7153721220.0,479564,7853.876,6965.958,,,,Normal,7408.315,-0.0004834814332472792,-0.9187727465007048,-0.3369307225106932,-0.08723472529005023,,0.3333333333333333,0.36363636363636365,0.4782608695652174,0.5161290322580645,5.0,7410.955484880192
2025-02-21,PP8888.DCE,PP8888,DCE,7409.488,7431.25,7376.038,7378.679,303173,11220472310.0,492340,7854.671,6966.749,,,,Normal,7405.4164,-0.004135064001175803,-1.630033865624881,-1.0175520449926554,-0.9366843184569326,,0.16666666666666666,0.18181818181818182,0.30434782608695654,0.375,5.0,7402.026110504564
2025-02-24,PP8888.DCE,PP8888,DCE,7373.371,7399.514,7358.421,7366.326,255274,9411071715.0,501740,7845.814,6957.997,,,,Normal,7395.5512,-0.00167414790642062,-0.22195506470131895,-0.2874137447049726,-0.3004295811761536,,0.16666666666666666,0.09090909090909091,0.2608695652173913,0.3333333333333333,5.0,7373.310023739198
2025-02-25,PP8888.DCE,PP8888,DCE,7370.887,7373.906,7349.043,7353.9,188733,6945019760.0,509534,7814.472,6930.538,,,,Normal,7384.2246,-0.0016868653382976495,-0.10279616639032538,-0.18994914006859612,-0.2518157021367679,,0.16666666666666666,0.09090909090909091,0.21739130434782608,0.2647058823529412,5.0,7359.6241886686485
2025-02-26,PP8888.DCE,PP8888,DCE,7348.008,7348.056,7291.167,7320.898,372934,13640056960.0,586207,7799.678,6917.505,-12.69,-8.19,-4.5,Normal,7365.8240000000005,-0.0044876868056404895,-1.2854719383262943,-0.7821828715130317,-0.8788873345684646,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.05714285714285714,5.0,7314.997806582398
2025-02-27,PP8888.DCE,PP8888,DCE,7317.444,7372.345,7303.772,7369.626,310376,11389447955.0,553243,7752.96,6876.744,-12.04,-8.96,-3.07,Shrinking Green Bar,7357.885799999999,0.006656014057291992,1.9124044259027253,2.0412108344942856,1.6314221574987862,,0.6666666666666666,0.36363636363636365,0.391304347826087,0.3888888888888889,5.0,7339.129285125138
2025-02-28,PP8888.DCE,PP8888,DCE,7373.476,7393.069,7360.108,7367.666,278828,10285174520.0,516198,7778.497,6898.546,-11.54,-9.48,-2.06,Shrinking Green Bar,7355.6831999999995,-0.00026595650851213293,0.006900912218679407,0.024113258932911198,-0.019591017337343797,,0.6666666666666666,0.36363636363636365,0.391304347826087,0.3783783783783784,5.0,7377.433055503751
2025-03-03,PP8888.DCE,PP8888,DCE,7367.446,7395.411,7354.185,7385.727,289852,10695052170.0,504010,7818.438,6934.495,-9.58,-9.5,-0.08,Shrinking Green Bar,7359.563399999999,0.0024513869114044518,0.5056329826393028,0.9374976875663035,0.5611968553669413,,0.8333333333333334,0.6363636363636364,0.5652173913043478,0.5,5.0,7379.664221740751
2025-03-04,PP8888.DCE,PP8888,DCE,7385.432,7392.08,7341.063,7342.234,283871,10447642915.0,521159,7820.833,6936.884,-11.41,-9.88,-1.53,Green Bar,7357.2302,-0.005888790636317753,-1.21962309231127,-1.4355399258199966,-1.426265023193658,,0.3333333333333333,0.18181818181818182,0.17391304347826086,0.1794871794871795,5.0,7360.838490018354
2025-03-05,PP8888.DCE,PP8888,DCE,7334.549,7335.654,7297.358,7305.719,376965,13783872275.0,575743,7800.462,6918.536,-15.62,-11.03,-4.59,Green Bar,7354.1944,-0.0049732819738516065,-0.9787074395133979,-0.9703637866233886,-1.1159373989083843,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.025,5.0,7313.078017853117
2025-03-06,PP8888.DCE,PP8888,DCE,7293.519,7320.432,7273.545,7319.374,393063,14340051265.0,601595,7749.985,6874.017,-17.65,-12.35,-5.3,Green Bar,7344.144,0.0018690836589800863,0.9348050310946803,0.8196378657254031,0.5421539184221928,,0.3333333333333333,0.18181818181818182,0.08695652173913043,0.07317073170731707,5.0,7296.566334149997
2025-03-07,PP8888.DCE,PP8888,DCE,7318.883,7333.307,7296.22,7314.533,233189,8530282100.0,602890,7732.122,6858.13,-19.43,-13.77,-5.66,Green Bar,7333.5174,-0.0006613953597670585,0.22688322090840232,0.0563585591036374,-0.11985160353240502,,0.3333333333333333,0.18181818181818182,0.08695652173913043,0.07142857142857142,5.0,7316.195961216009
2025-03-10,PP8888.DCE,PP8888,DCE,7324.965,7350.311,7307.994,7312.811,313662,11504494470.0,591700,7752.792,6875.34,-20.74,-15.16,-5.58,Shrinking Green Bar,7318.934200000001,-0.00023542172822255125,0.5885072102535184,0.1342364431187056,-0.02142641559085906,,0.3333333333333333,0.18181818181818182,0.08695652173913043,0.06976744186046512,5.0,7335.599766627772
2025-03-11,PP8888.DCE,PP8888,DCE,7322.805,7323.575,7275.449,7302.074,290878,10619076375.0,610418,7772.129,6893.083,-22.39,-16.61,-5.78,Green Bar,7310.9021999999995,-0.0014682452479628516,-0.16779296524325496,-0.21200246643018206,-0.2457949984030415,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.022727272727272728,5.0,7301.395344439937
2025-03-12,PP8888.DCE,PP8888,DCE,7312.88,7317.636,7240.332,7246.972,399423,14530857565.0,647001,7735.792,6860.756,-27.82,-18.85,-8.97,Green Bar,7299.152800000001,-0.007546075265739582,-1.874836536971452,-1.6210624174169852,-1.7169857999808518,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.022222222222222223,5.0,7275.924303307521
2025-03-13,PP8888.DCE,PP8888,DCE,7263.628,7285.835,7248.311,7250.233,318236,11567418250.0,650915,7709.458,6838.058,-31.49,-21.38,-10.11,Green Bar,7285.3246,0.0004499810403573168,0.8091844693074617,0.6492950633622389,0.4110841374669516,,0.3333333333333333,0.18181818181818182,0.08695652173913043,0.043478260869565216,5.0,7269.710686408828
2025-03-14,PP8888.DCE,PP8888,DCE,7255.087,7295.764,7243.501,7285.446,359197,13053422225.0,634239,7703.572,6832.172,-31.21,-23.34,-7.86,Shrinking Green Bar,7279.5072,0.004856809429434783,1.4127976888249156,1.5966442437654862,1.4937491252020583,,0.5,0.2727272727272727,0.13043478260869565,0.06382978723404255,5.0,7268.113166312636
