datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,PX8888.CZCE,PX8888,CZCE,6979.645,7108.505,6972.177,7061.324,126882,4473331920.0,115007,7426.979,6453.817,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,5.0,7051.168676408001
2025-01-03,PX8888.CZCE,PX8888,CZCE,7063.976,7128.354,7033.998,7072.9,115025,4065484160.0,119137,7546.624,6557.454,,,,Normal,,0.0016393526199902642,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,5.0,7068.870523799174
2025-01-06,PX8888.CZCE,PX8888,CZCE,7072.775,7229.34,7018.526,7097.315,186979,6667021800.0,136130,7566.729,6573.565,,,,Normal,,0.003451907986822933,,,,,0.75,0.75,0.75,0.75,5.0,7131.305440717942
2025-01-07,PX8888.CZCE,PX8888,CZCE,7113.271,7135.4,6948.919,6973.477,150365,5295470470.0,141995,7623.797,6623.627,,,,Normal,,-0.017448570339628433,,,,,0.2,0.2,0.2,0.2,5.0,7043.4881388621025
2025-01-08,PX8888.CZCE,PX8888,CZCE,6975.223,7015.587,6933.055,6994.291,111063,3880570600.0,149380,7522.578,6535.889,,,,Normal,7039.8614,0.002984737742735888,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.0,6988.0529069086915
2025-01-09,PX8888.CZCE,PX8888,CZCE,7035.193,7264.597,7026.512,7227.795,390302,14019641080.0,186790,7465.879,6486.258,,,,Normal,7073.1556,0.03338494209062781,1.7543512264903478,,,,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,5.0,7183.9965360157
2025-01-10,PX8888.CZCE,PX8888,CZCE,7207.017,7302.314,7139.668,7199.589,348761,12625291730.0,196637,7671.866,6666.84,,,,Normal,7098.493400000001,-0.003902434974981994,-0.45613165885820833,,,,0.6666666666666666,0.75,0.75,0.75,5.0,7240.0823085150005
2025-01-13,PX8888.CZCE,PX8888,CZCE,7300.47,7501.021,7256.321,7400.623,363254,13454754220.0,213243,7723.563,6711.738,,,,Normal,7159.154999999999,0.02792298282582517,1.0040648184799663,,,,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,5.0,7407.904232300264
2025-01-14,PX8888.CZCE,PX8888,CZCE,7405.709,7429.094,7295.888,7384.765,230123,8503071150.0,208800,7904.988,6868.762,,,,Normal,7241.412600000001,-0.002142792573003538,-0.8742525328522468,,,,0.6666666666666666,0.8,0.8,0.8,5.0,7390.022857341509
2025-01-15,PX8888.CZCE,PX8888,CZCE,7398.135,7465.056,7355.853,7445.982,189193,7036399790.0,213747,7876.113,6844.975,,,,Normal,7331.7508,0.008289634131891654,-0.2883825378556898,,,,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,5.0,7438.329948782461
2025-01-16,PX8888.CZCE,PX8888,CZCE,7450.381,7626.396,7437.766,7554.174,267008,10068089690.0,207642,7936.337,6896.188,,,,Normal,7397.0266,0.01453025269198882,0.47947682217011983,0.5349750779058084,,,0.8333333333333334,0.9090909090909091,0.9166666666666666,0.9166666666666666,5.0,7541.414257250719
2025-01-17,PX8888.CZCE,PX8888,CZCE,7523.191,7554.948,7393.254,7489.049,204172,7672623930.0,193104,8048.416,6992.716,,,,Normal,7454.9186,-0.00862106168060206,-1.2985181987739602,-0.9639991518395697,,,0.6666666666666666,0.8181818181818182,0.8461538461538461,0.8461538461538461,5.0,7515.843435926572
2025-01-20,PX8888.CZCE,PX8888,CZCE,7483.537,7489.718,7323.812,7362.019,190604,7069390770.0,171364,8020.236,6968.584,,,,Normal,7447.1978,-0.01696210026132816,-1.4106964238228594,-1.2580303802236568,,,0.16666666666666666,0.45454545454545453,0.5714285714285714,0.5714285714285714,5.0,7417.882909068016
2025-01-21,PX8888.CZCE,PX8888,CZCE,7365.041,7414.285,7322.273,7378.562,128040,4734505600.0,169311,7910.756,6872.436,,,,Normal,7445.9572,0.002247073798641308,0.20663303403841035,-0.23577214222352308,,,0.3333333333333333,0.45454545454545453,0.6,0.6,5.0,7395.353951890034
2025-01-22,PX8888.CZCE,PX8888,CZCE,7351.618,7351.758,7244.511,7294.503,169558,6202120410.0,158682,7891.374,6856.694,,,,Normal,7415.6614,-0.011392328207040947,-0.6569070678379434,-0.9941482365172959,,,0.16666666666666666,0.2727272727272727,0.5,0.5,5.0,7315.632892579531
2025-01-23,PX8888.CZCE,PX8888,CZCE,7311.807,7334.595,7179.999,7191.126,149211,5411121020.0,148863,7809.282,6785.867,,,,Normal,7343.051800000001,-0.014171904514947653,-0.6629019147369725,-1.0320903586857835,,,0.16666666666666666,0.09090909090909091,0.35294117647058826,0.35294117647058826,5.0,7252.978694600264
2025-01-24,PX8888.CZCE,PX8888,CZCE,7212.688,7228.154,7106.799,7143.917,132836,4761106250.0,136457,7756.304,6740.082,,,,Normal,7274.0254,-0.006564896790850261,0.4155796170326131,-0.43812096327827227,,,0.16666666666666666,0.09090909090909091,0.3333333333333333,0.3333333333333333,5.0,7168.397497666295
2025-01-27,PX8888.CZCE,PX8888,CZCE,7165.305,7167.464,7076.974,7093.864,92145,3279296190.0,129417,7889.241,6453.414,,,,Normal,7220.3944,-0.007006380393277389,0.06653576425789982,-0.2980409013595394,,,0.16666666666666666,0.09090909090909091,0.2631578947368421,0.2631578947368421,5.0,7117.686667751913
2025-02-05,PX8888.CZCE,PX8888,CZCE,7089.568,7168.809,7063.543,7140.281,102214,3640088340.0,144400,7839.208,6413.141,,,,Normal,7172.7382,0.006543260485399882,1.8355726633826863,0.9839633588937085,,,0.3333333333333333,0.18181818181818182,0.35,0.35,5.0,7122.484865086974
2025-02-06,PX8888.CZCE,PX8888,CZCE,7105.929,7176.199,7096.981,7126.202,148086,5287252080.0,175450,7624.786,6625.945,,,,Normal,7139.0779999999995,-0.0019717711389789505,0.3905865329282893,0.2551016140200764,,,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.3333333333333333,5.0,7140.785867671489
2025-02-07,PX8888.CZCE,PX8888,CZCE,7153.691,7332.311,7145.261,7316.641,274332,9969649040.0,215824,7639.4,6637.244,,,,Normal,7164.181,0.026723772354474207,1.843761865526839,2.4751522509269517,,,0.8333333333333334,0.6363636363636364,0.6363636363636364,0.6363636363636364,5.0,7268.309231150577
