datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,T8888.CFFEX,T8888,CFFEX,109.01,109.22,108.945,109.17,84305,91999889350.0,188580,111.071,106.722,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,10000.0,109.12744125496708
2025-01-03,T8888.CFFEX,T8888,CFFEX,109.298,109.478,109.122,109.426,149959,163893749850.0,192957,111.366,107.006,,,,Normal,,0.0023449665659063257,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,10000.0,109.29237314866063
2025-01-06,T8888.CFFEX,T8888,CFFEX,109.438,109.456,109.148,109.455,91326,99834326600.0,191983,111.564,107.194,,,,Normal,,0.00026501928243738426,,,,,0.75,0.75,0.75,0.75,10000.0,109.31643409324836
2025-01-07,T8888.CFFEX,T8888,CFFEX,109.437,109.442,109.216,109.364,73625,80490774000.0,191406,111.601,107.231,,,,Normal,,-0.0008313918962129518,,,,,0.4,0.4,0.4,0.4,10000.0,109.32532971137522
2025-01-08,T8888.CFFEX,T8888,CFFEX,109.354,109.475,109.292,109.412,76688,83902153950.0,198558,111.5,107.132,,,,Normal,109.3654,0.0004389012837862083,,,,,0.5,0.5,0.5,0.5,10000.0,109.40714838045066
2025-01-09,T8888.CFFEX,T8888,CFFEX,109.392,109.427,109.161,109.175,81187,88723488500.0,196889,111.603,107.233,,,,Normal,109.3664,-0.0021661243739261593,-1.457782723437484,,,,0.16666666666666666,0.2857142857142857,0.2857142857142857,0.2857142857142857,10000.0,109.28287595304667
2025-01-10,T8888.CFFEX,T8888,CFFEX,108.907,109.145,108.455,109.145,126409,137669032050.0,200181,111.367,107.007,,,,Normal,109.31020000000001,-0.0002747881841080879,0.254587649434092,,,,0.16666666666666666,0.125,0.125,0.125,10000.0,108.9076189590931
2025-01-13,T8888.CFFEX,T8888,CFFEX,109.107,109.136,108.813,108.99,89266,97264127050.0,198282,111.265,106.906,,,,Normal,109.2172,-0.0014201291859453624,-0.6327145915461271,,,,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,10000.0,108.95988063764479
2025-01-14,T8888.CFFEX,T8888,CFFEX,108.942,109.147,108.88,109.127,93054,101456897850.0,198806,111.168,106.809,,,,Normal,109.16979999999998,0.0012569960546839898,1.3690384007077692,,,,0.3333333333333333,0.2,0.2,0.2,10000.0,109.03013073054356
2025-01-15,T8888.CFFEX,T8888,CFFEX,109.245,109.349,109.208,109.308,69491,75943917800.0,199531,111.268,106.909,,,,Normal,109.149,0.001658617940564877,1.249323771728707,,,,0.8333333333333334,0.5454545454545454,0.5454545454545454,0.5454545454545454,10000.0,109.28597631347944
