datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,UR8888.CZCE,UR8888,CZCE,1702.732,1716.057,1696.794,1698.897,153263,5231035180.0,299196,1831.129,1590.897,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,20.0,1706.5551307230055
2025-01-03,UR8888.CZCE,UR8888,CZCE,1683.426,1690.65,1654.47,1662.185,234461,7835284440.0,316714,1827.95,1587.682,,,,Normal,,-0.021609314749511,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.0,1670.9142330707452
2025-01-06,UR8888.CZCE,UR8888,CZCE,1655.0,1671.063,1634.3,1660.399,247422,8170081660.0,323761,1789.37,1554.817,,,,Normal,,-0.0010744893017323731,,,,,0.25,0.25,0.25,0.25,20.0,1651.0418758234919
2025-01-07,UR8888.CZCE,UR8888,CZCE,1655.916,1663.803,1646.886,1650.26,115624,3825649180.0,323052,1767.534,1535.258,,,,Normal,,-0.006106363590919983,,,,,0.2,0.2,0.2,0.2,20.0,1654.3490884245484
2025-01-08,UR8888.CZCE,UR8888,CZCE,1648.061,1653.709,1632.002,1634.812,148879,4889673600.0,326532,1772.23,1539.73,,,,Normal,1661.3106,-0.009360949183765066,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,20.0,1642.1636362415115
2025-01-09,UR8888.CZCE,UR8888,CZCE,1633.971,1677.308,1633.002,1663.236,231257,7642322480.0,319030,1758.918,1528.378,,,,Normal,1654.1784,0.017386708685769525,1.6932535439783667,,,,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.7142857142857143,20.0,1652.3440328292766
2025-01-10,UR8888.CZCE,UR8888,CZCE,1663.734,1677.013,1652.842,1672.016,150504,5008417560.0,313455,1770.494,1538.005,,,,Normal,1656.1446,0.005278866017811135,0.42794349972692464,,,,0.8333333333333334,0.75,0.75,0.75,20.0,1663.8818768936374
2025-01-13,UR8888.CZCE,UR8888,CZCE,1696.964,1708.73,1679.712,1689.852,236113,8000690340.0,295295,1782.724,1548.277,,,,Normal,1662.0351999999998,0.010667362034813,0.7058780951092585,,,,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7777777777777778,20.0,1694.2502827036208
2025-01-14,UR8888.CZCE,UR8888,CZCE,1697.04,1698.652,1679.174,1690.18,149265,5039375740.0,295796,1814.354,1575.984,,,,Normal,1670.0192,0.00019409983832896494,-0.5093186971825756,,,,0.8333333333333334,0.8,0.8,0.8,20.0,1688.0634241114797
2025-01-15,UR8888.CZCE,UR8888,CZCE,1687.853,1692.669,1670.472,1676.45,200022,6718085280.0,310004,1808.509,1570.122,,,,Normal,1678.3468,-0.008123395141345857,-1.5127967956642079,,,,0.5,0.6363636363636364,0.6363636363636364,0.6363636363636364,20.0,1679.3365929747729
2025-01-16,UR8888.CZCE,UR8888,CZCE,1690.005,1700.215,1676.917,1691.436,215785,7273739200.0,308621,1800.362,1563.764,,,,Normal,1683.9868000000001,0.008939127322616258,0.817830753331552,0.8574368336773929,,,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8333333333333334,20.0,1685.4135366221008
2025-01-17,UR8888.CZCE,UR8888,CZCE,1690.924,1743.536,1683.173,1736.492,508081,17548066280.0,293883,1806.322,1569.487,,,,Normal,1696.882,0.026637720847847657,1.6322520148083715,2.0027404604421597,,,0.8333333333333334,0.9090909090909091,0.9230769230769231,0.9230769230769231,20.0,1726.8965263412724
2025-01-20,UR8888.CZCE,UR8888,CZCE,1725.112,1755.376,1719.677,1739.79,259776,9020803920.0,285694,1850.335,1607.735,,,,Normal,1706.8696,0.0018992313238415104,-0.34273125406757243,-0.25909478910134853,,,0.8333333333333334,0.9090909090909091,0.9285714285714286,0.9285714285714286,20.0,1736.2658444198078
2025-01-21,UR8888.CZCE,UR8888,CZCE,1737.617,1751.151,1735.778,1744.732,121787,4241988460.0,279828,1860.863,1616.315,,,,Normal,1717.78,0.0028405727127986946,-0.3132056571412129,-0.2688437220131193,,,0.8333333333333334,0.9090909090909091,0.9333333333333333,0.9333333333333333,20.0,1741.5604539072315
2025-01-22,UR8888.CZCE,UR8888,CZCE,1733.122,1774.233,1725.245,1768.086,223048,7804651640.0,279759,1865.778,1620.979,,,,Normal,1736.1072,0.013385436846461207,0.2944224807773868,0.5888195408789589,,,0.8333333333333334,0.9090909090909091,0.9375,0.9375,20.0,1749.5453086331192
2025-01-23,UR8888.CZCE,UR8888,CZCE,1769.38,1774.642,1755.52,1760.776,143901,5067618640.0,269012,1875.619,1628.831,,,,Normal,1749.9752,-0.004134414276228626,-1.1311582637820374,-1.058498706347164,,,0.6666666666666666,0.8181818181818182,0.8823529411764706,0.8823529411764706,20.0,1760.800355800168
2025-01-24,UR8888.CZCE,UR8888,CZCE,1767.919,1786.94,1751.261,1779.106,163130,5776407420.0,253037,1886.695,1639.575,,,,Normal,1758.498,0.010410182783045618,0.8804869647052643,0.43812924603498143,,,0.8333333333333334,0.9090909090909091,0.9444444444444444,0.9444444444444444,20.0,1770.4920676760867
2025-01-27,UR8888.CZCE,UR8888,CZCE,1775.44,1780.006,1762.5,1772.652,89300,3159322820.0,234997,1934.391,1613.27,,,,Normal,1765.0703999999998,-0.0036276646810251556,-1.0373336919500595,-0.8687425009996871,,,0.6666666666666666,0.8181818181818182,0.8947368421052632,0.8947368421052632,20.0,1768.9377491601344
2025-02-05,UR8888.CZCE,UR8888,CZCE,1745.65,1758.971,1721.565,1725.78,182756,6337431640.0,247666,1932.066,1612.509,,,,Normal,1761.28,-0.02644173814149653,-1.7265860590101074,-2.1118394931133544,,,0.16666666666666666,0.2727272727272727,0.6,0.6,20.0,1733.8505001203791
2025-02-06,UR8888.CZCE,UR8888,CZCE,1726.792,1747.423,1716.074,1737.006,163953,5660151060.0,262715,1858.876,1613.934,,,,Normal,1755.0639999999999,0.006504884747766226,0.7777973686196054,0.21784820611591013,,,0.3333333333333333,0.36363636363636365,0.6666666666666666,0.6666666666666666,20.0,1726.1505004482992
2025-02-07,UR8888.CZCE,UR8888,CZCE,1744.806,1753.156,1729.967,1739.176,159148,5528530920.0,266758,1852.076,1609.094,,,,Normal,1750.744,0.0012492760531626068,0.28071418994107433,-0.12449955790212765,,,0.5,0.36363636363636365,0.6818181818181818,0.6818181818181818,20.0,1736.9149847940282
2025-02-10,UR8888.CZCE,UR8888,CZCE,1739.342,1772.379,1735.42,1753.771,222165,7782518020.0,284020,1863.758,1618.76,,,,Normal,1745.6770000000001,0.008391905132085542,0.8903717062807777,0.6902809823760411,,,0.6666666666666666,0.5454545454545454,0.782608695652174,0.782608695652174,20.0,1751.5175702743456
2025-02-11,UR8888.CZCE,UR8888,CZCE,1749.835,1759.121,1737.995,1745.314,146893,5126429480.0,283346,1880.771,1633.551,,,,Normal,1740.2094000000002,-0.004822180318867053,-0.14299857369940885,-0.48236095081880986,-0.5219311904795693,,0.6666666666666666,0.45454545454545453,0.7391304347826086,0.75,20.0,1744.9536329164766
2025-02-12,UR8888.CZCE,UR8888,CZCE,1745.403,1784.992,1744.908,1775.836,233426,8233300640.0,302799,1872.227,1626.597,,,,Normal,1750.2206,0.01748797064596963,1.5743493265324497,1.3101355669121248,1.3037263226635165,,0.8333333333333334,0.8181818181818182,0.9130434782608695,0.92,20.0,1763.5783160402011
2025-02-13,UR8888.CZCE,UR8888,CZCE,1774.253,1782.561,1759.385,1772.177,177222,6255935280.0,303303,1894.383,1645.165,,,,Normal,1757.2548,-0.0020604380134202627,-0.759777131996648,-0.20789354165516455,-0.45931854916364806,,0.6666666666666666,0.6363636363636364,0.8260869565217391,0.8461538461538461,20.0,1764.99962758574
2025-02-14,UR8888.CZCE,UR8888,CZCE,1775.627,1833.572,1775.573,1827.06,353479,12798613420.0,314785,1893.669,1644.449,,,,Normal,1774.8316,0.03096925419977814,1.5961416077459598,1.8822688875764455,2.1329371607639627,,0.8333333333333334,0.9090909090909091,0.9565217391304348,0.9629629629629629,20.0,1810.3781865400774
2025-02-17,UR8888.CZCE,UR8888,CZCE,1859.618,1861.49,1808.93,1815.512,317093,11563740580.0,309639,1942.53,1687.32,,,,Normal,1787.1798,-0.006320536818714251,-0.9082079923124515,-0.5814890511002586,-0.9180956103072326,,0.6666666666666666,0.8181818181818182,0.9130434782608695,0.9285714285714286,20.0,1823.3989050530918
2025-02-18,UR8888.CZCE,UR8888,CZCE,1818.617,1832.062,1782.605,1791.488,309391,11146552120.0,308421,1954.558,1697.63,,,,Normal,1796.4146,-0.01323263079505943,-1.1362140853221006,-0.948370311833211,-1.3457495736926908,,0.5,0.7272727272727273,0.8695652173913043,0.896551724137931,20.0,1801.369807137247
2025-02-19,UR8888.CZCE,UR8888,CZCE,1793.624,1818.274,1788.786,1805.521,242647,8739879680.0,311509,1932.69,1679.312,,,,Normal,1802.3516,0.007833153222349232,0.2860358296147742,0.2665223555696628,0.34254055158221,,0.5,0.7272727272727273,0.8695652173913043,0.9,20.0,1800.9453403503855
2025-02-20,UR8888.CZCE,UR8888,CZCE,1805.92,1812.308,1790.552,1798.89,219554,7882358620.0,324174,1932.173,1678.803,,,,Normal,1807.6942000000004,-0.003672624134529512,-0.4380749375978729,-0.5872999299890767,-0.531119928416589,,0.3333333333333333,0.6363636363636364,0.8260869565217391,0.8709677419354839,20.0,1795.0842662852874
2025-02-21,UR8888.CZCE,UR8888,CZCE,1803.04,1828.829,1796.903,1805.778,331454,12010930420.0,314358,1925.536,1672.507,,,,Normal,1803.4378000000002,0.0038290279005386285,0.8239452552624411,-0.0009135067828027,0.05971282576413918,,0.6666666666666666,0.7272727272727273,0.8695652173913043,0.90625,20.0,1811.8548003644548
2025-02-24,UR8888.CZCE,UR8888,CZCE,1836.835,1843.883,1821.011,1825.15,261639,9571467960.0,314627,1942.585,1687.505,,,,Normal,1805.3654000000001,0.010727786029068875,1.1140373403467383,0.5351279000647785,0.5536266186766962,,0.8333333333333334,0.8181818181818182,0.9130434782608695,0.9393939393939394,20.0,1829.1363214199719
2025-02-25,UR8888.CZCE,UR8888,CZCE,1826.382,1849.878,1818.516,1835.996,268153,9834372220.0,314049,1960.5,1703.664,,,,Normal,1814.2670000000003,0.005942525271895427,0.2077679229093919,0.0655864505349691,0.17471789533682436,,0.8333333333333334,0.9090909090909091,0.9565217391304348,0.9705882352941176,20.0,1833.7240717053323
2025-02-26,UR8888.CZCE,UR8888,CZCE,1839.421,1840.081,1804.705,1809.768,267098,9694794420.0,321221,1965.816,1707.296,36.95,39.53,-2.58,Normal,1815.1164,-0.014285434173059275,-1.693989370165182,-1.2920445311319173,-1.3877121509892592,,0.5,0.5454545454545454,0.782608695652174,0.8571428571428571,20.0,1814.8384525529955
2025-02-27,UR8888.CZCE,UR8888,CZCE,1804.565,1823.927,1792.25,1816.743,235563,8504415980.0,319280,1945.735,1690.805,35.52,38.73,-3.21,Green Bar,1818.687,0.0038540851645072483,0.2157928634484016,0.10301461069231721,0.15518062931203022,,0.5,0.6363636363636364,0.8260869565217391,0.8888888888888888,20.0,1805.12558848376
2025-02-28,UR8888.CZCE,UR8888,CZCE,1816.217,1823.046,1801.511,1814.063,193768,7006711900.0,318521,1935.882,1680.98,33.78,37.74,-3.95,Green Bar,1820.3439999999998,-0.001475167373701125,-0.283405841767377,-0.09704328062178079,-0.28283845423558196,,0.3333333333333333,0.5454545454545454,0.7391304347826086,0.8378378378378378,20.0,1808.015745633954
