date,price,action
2023-01-11,17943.26,"开仓: signal=8.67, ATR=nan"
2023-01-12,18846.62,"平仓: 止盈: 浮盈5.03%, 收益=5.03%"
2023-01-13,19930.01,"开仓: signal=9.39, ATR=nan"
2023-01-14,20954.92,"平仓: 止盈: 浮盈5.14%, 收益=5.14%"
2023-01-15,20871.5,"开仓: signal=10.28, ATR=521.67"
2023-01-20,22667.21,"平仓: 止盈: 浮盈8.60%, 收益=8.60%"
2023-01-21,22783.55,"开仓: signal=8.41, ATR=717.16"
2023-02-06,22762.52,"平仓: 信号反转: signal=-0.66, 收益=-0.09%"
2023-02-15,24324.05,"开仓: signal=1.63, ATR=812.06"
2023-02-24,23185.29,"平仓: 止损: 回撤1656.91 > 1624.13, 收益=-4.68%"
2023-03-13,24113.48,"开仓: signal=1.71, ATR=1057.71"
2023-03-17,27395.13,"平仓: 止盈: 浮盈13.61%, 收益=13.61%"
2023-03-18,26907.49,"开仓: signal=4.55, ATR=1268.95"
2023-03-23,28295.41,"平仓: 止盈: 浮盈5.16%, 收益=5.16%"
2023-03-24,27454.47,"开仓: signal=2.82, ATR=1373.87"
2023-03-27,27124.91,"平仓: 信号反转: signal=-0.36, 收益=-1.20%"
2023-03-29,28348.6,"开仓: signal=0.50, ATR=1279.38"
2023-04-08,27938.38,"平仓: 信号反转: signal=-1.50, 收益=-1.45%"
2023-04-09,28323.76,"开仓: signal=1.05, ATR=980.33"
2023-04-11,30200.42,"平仓: 止盈: 浮盈6.63%, 收益=6.63%"
2023-04-12,29888.07,"开仓: signal=3.43, ATR=1007.74"
2023-04-20,28243.65,"平仓: 止损: 回撤2223.28 > 2015.48, 收益=-5.50%"
2023-04-29,29230.45,"开仓: signal=0.69, ATR=1077.89"
2023-05-07,28430.1,"平仓: 信号反转: signal=-1.82, 收益=-2.74%"
2023-05-23,27219.61,"开仓: signal=1.44, ATR=844.20"
2023-05-24,26329.01,"平仓: 信号反转: signal=-1.39, 收益=-3.27%"
2023-05-28,28065.0,"开仓: signal=2.36, ATR=853.76"
2023-06-05,25728.2,"平仓: 止损: 回撤2336.80 > 1707.53, 收益=-8.33%"
2023-06-19,26844.35,"开仓: signal=0.74, ATR=868.67"
2023-06-20,28307.99,"平仓: 止盈: 浮盈5.45%, 收益=5.45%"
2023-06-21,29993.89,"开仓: signal=5.67, ATR=1046.70"
2023-07-06,29895.43,"平仓: 信号反转: signal=-0.90, 收益=-0.33%"
2023-07-08,30284.63,"开仓: signal=0.57, ATR=902.56"
2023-07-09,30160.71,"平仓: 信号反转: signal=-0.82, 收益=-0.41%"
2023-07-13,31454.23,"开仓: signal=0.60, ATR=900.04"
2023-07-14,30312.01,"平仓: 信号反转: signal=-0.75, 收益=-3.63%"
2023-07-16,30231.99,"开仓: signal=0.62, ATR=866.77"
2023-07-17,30138.0,"平仓: 信号反转: signal=-0.39, 收益=-0.31%"
2023-08-08,29770.42,"开仓: signal=1.38, ATR=636.34"
2023-08-11,29426.03,"平仓: 信号反转: signal=-1.03, 收益=-1.16%"
2023-08-12,29430.17,"开仓: signal=1.19, ATR=571.45"
2023-08-16,28730.51,"平仓: 信号反转: signal=-1.32, 收益=-2.38%"
2023-08-29,27716.34,"开仓: signal=3.05, ATR=748.03"
2023-08-31,25940.78,"平仓: 止损: 回撤1775.56 > 1496.05, 收益=-6.41%"
2023-09-13,26222.0,"开仓: signal=0.62, ATR=734.78"
2023-09-24,26248.38,"平仓: 信号反转: signal=-1.01, 收益=0.10%"
2023-09-28,27021.39,"开仓: signal=0.75, ATR=631.24"
2023-09-29,26906.96,"平仓: 信号反转: signal=-0.95, 收益=-0.42%"
2023-10-01,27992.57,"开仓: signal=3.60, ATR=634.34"
2023-10-11,26875.52,"平仓: 信号反转: signal=-3.19, 收益=-3.99%"
2023-10-16,28500.78,"开仓: signal=1.10, ATR=754.01"
