datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,AU8888.SHFE,AU8888,SHFE,623.522,625.926,623.073,624.213,145752,90862032880.0,344239,680.415,556.699,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,1000.0,623.4016197376366
2025-01-03,AU8888.SHFE,AU8888,SHFE,627.108,630.335,625.116,629.362,295448,185310364080.0,355712,686.698,561.846,,,,Normal,,0.008248786872429692,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1000.0,627.2182044894533
2025-01-06,AU8888.SHFE,AU8888,SHFE,629.825,630.521,625.928,626.411,300340,188599313040.0,351203,690.888,565.272,,,,Normal,,-0.004688875400802761,,,,,0.5,0.5,0.5,0.5,1000.0,627.9526970766465
2025-01-07,AU8888.SHFE,AU8888,SHFE,628.14,628.509,620.694,626.422,396069,247127854020.0,348868,691.59,565.843,,,,Normal,,1.7560355741075284e-05,,,,,0.6,0.6,0.6,0.6,1000.0,623.9515185990319
2025-01-08,AU8888.SHFE,AU8888,SHFE,628.766,630.043,626.331,629.375,296207,185926554500.0,352246,687.296,562.327,,,,Normal,627.1566,0.0047140745376119675,,,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1000.0,627.6912919005965
2025-01-09,AU8888.SHFE,AU8888,SHFE,629.692,633.0,628.079,632.938,324318,204294918760.0,358508,691.313,565.623,,,,Normal,628.9015999999999,0.005661171797417985,0.6253393138463802,,,,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,1000.0,629.9216163148515
2025-01-10,AU8888.SHFE,AU8888,SHFE,634.842,637.219,632.92,637.077,284201,180244053240.0,368363,693.655,567.533,,,,Normal,630.4446,0.006539345085932569,0.9693648697433797,,,,0.8333333333333334,0.875,0.875,0.875,1000.0,634.2132970679203
2025-01-13,AU8888.SHFE,AU8888,SHFE,636.845,641.124,633.042,638.996,473556,301926423400.0,370123,698.517,571.5,,,,Normal,632.9616,0.003012194758247322,-0.42381963883283463,,,,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,1000.0,637.5727968814671
2025-01-14,AU8888.SHFE,AU8888,SHFE,634.968,635.643,632.525,633.975,343454,217531203420.0,354998,702.169,574.502,,,,Normal,634.4721999999999,-0.007857639171450104,-1.9500787759893277,,,,0.5,0.7,0.7,0.7,1000.0,633.3634298042824
2025-01-15,AU8888.SHFE,AU8888,SHFE,633.63,637.816,631.598,637.194,335040,212289508360.0,358026,697.544,570.72,,,,Normal,636.036,0.005077487282621362,0.48878518289261097,,,,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.8181818181818182,1000.0,633.6243683142311
2025-01-16,AU8888.SHFE,AU8888,SHFE,638.372,641.021,635.638,639.526,375498,239545267940.0,352332,697.827,570.945,,,,Normal,637.3536,0.0036597959177266937,0.3074297117496946,0.2505764893180827,,,0.8333333333333334,0.9090909090909091,0.9166666666666666,0.9166666666666666,1000.0,637.9401965922588
2025-01-17,AU8888.SHFE,AU8888,SHFE,640.88,644.315,640.097,641.06,365876,234863785460.0,353807,702.465,574.741,,,,Normal,638.1502,0.0023986515012681675,0.2456010942123665,0.12180099898027559,,,0.8333333333333334,0.9090909090909091,0.9230769230769231,0.9230769230769231,1000.0,641.9218135652516
2025-01-20,AU8888.SHFE,AU8888,SHFE,641.614,642.037,634.683,640.169,361109,230527813620.0,350654,706.679,578.191,,,,Normal,638.3848,-0.0013898855021370338,-0.3805145632107793,-0.8742533638413442,,,0.6666666666666666,0.8181818181818182,0.8571428571428571,0.8571428571428571,1000.0,638.3884467570733
2025-01-21,AU8888.SHFE,AU8888,SHFE,639.254,640.768,634.066,640.319,375092,239088469480.0,350626,702.776,575.003,,,,Normal,639.6536,0.00023431312668997784,-0.7582293923242939,-0.483459546330589,,,0.6666666666666666,0.8181818181818182,0.8666666666666667,0.8666666666666667,1000.0,637.4128733217451
2025-01-22,AU8888.SHFE,AU8888,SHFE,640.558,649.327,639.871,645.922,395950,254909671640.0,371430,701.829,574.221,,,,Normal,641.3992000000001,0.00875032600937975,1.7316754761850472,1.3696970347492852,,,0.8333333333333334,0.9090909090909091,0.9375,0.9375,1000.0,643.7925789619901
2025-01-23,AU8888.SHFE,AU8888,SHFE,647.471,648.141,645.631,646.718,285236,184320976560.0,366124,708.806,579.937,,,,Normal,642.8376000000001,0.0012323469397232945,-0.29086357602602925,-0.21318474176911242,,,0.8333333333333334,0.9090909090909091,0.9411764705882353,0.9411764705882353,1000.0,646.2051654068912
2025-01-24,AU8888.SHFE,AU8888,SHFE,645.126,650.492,643.018,649.41,344301,222642593420.0,362763,711.359,582.026,,,,Normal,644.5075999999999,0.004162556168221698,0.4385121840842473,0.5326797543215017,,,0.8333333333333334,0.9090909090909091,0.9444444444444444,0.9444444444444444,1000.0,646.6510216932277
2025-01-27,AU8888.SHFE,AU8888,SHFE,650.038,652.459,645.602,648.076,287136,186359556240.0,351567,731.307,563.041,,,,Normal,646.0889999999999,-0.0020541722486563385,-1.2138574101784183,-0.8013885317014366,,,0.6666666666666666,0.8181818181818182,0.8947368421052632,0.8947368421052632,1000.0,649.0288791374122
2025-02-05,AU8888.SHFE,AU8888,SHFE,668.189,671.737,666.896,671.248,165364,110690966140.0,360003,733.784,564.951,,,,Normal,652.2747999999999,0.03575506576389187,1.930227829985764,2.870069373643342,,,0.8333333333333334,0.9090909090909091,0.95,0.95,1000.0,669.3776525725067
2025-02-06,AU8888.SHFE,AU8888,SHFE,672.826,674.807,669.013,669.213,301051,202349707420.0,362035,736.584,602.664,,,,Normal,656.933,-0.0030316663885777695,-0.7067498402283086,-0.7427122471553987,,,0.6666666666666666,0.8181818181818182,0.9047619047619048,0.9047619047619048,1000.0,672.1442792749401
2025-02-07,AU8888.SHFE,AU8888,SHFE,671.299,672.472,665.292,670.652,308518,206565735300.0,356119,739.649,605.168,,,,Normal,661.7198000000001,0.002150286978884308,-0.36370953272438183,-0.2471818810757826,,,0.6666666666666666,0.8181818181818182,0.9090909090909091,0.9090909090909091,1000.0,669.5419239720211
2025-02-10,AU8888.SHFE,AU8888,SHFE,671.315,680.362,669.02,679.96,496575,334812833800.0,365289,736.914,602.917,,,,Normal,667.8298000000001,0.01387903115177469,0.31280599187717256,0.7131762468420595,,,0.8333333333333334,0.9090909090909091,0.9565217391304348,0.9565217391304348,1000.0,674.2442406484419
2025-02-11,AU8888.SHFE,AU8888,SHFE,683.264,692.594,680.708,686.622,555495,380681130000.0,365422,742.164,607.219,,,,Normal,675.539,0.009797635155009088,-0.14292361923543465,0.24967072916833535,0.643030843192596,,0.8333333333333334,0.9090909090909091,0.9565217391304348,0.9583333333333334,1000.0,685.300731779764
2025-02-12,AU8888.SHFE,AU8888,SHFE,680.625,686.055,677.978,682.147,467998,319152910840.0,357503,754.339,617.19,,,,Normal,677.7188,-0.0065174142395668655,-1.279031975710982,-1.12891549322345,-1.1775669094287091,,0.6666666666666666,0.8181818181818182,0.9130434782608695,0.92,1000.0,681.9535785195663
2025-02-13,AU8888.SHFE,AU8888,SHFE,680.691,687.417,676.292,685.462,467093,318620607760.0,362965,750.568,614.088,,,,Normal,680.9685999999999,0.004859656349730956,0.0037070840717747496,-0.10177917167653068,0.08495510928482078,,0.6666666666666666,0.8181818181818182,0.9130434782608695,0.9230769230769231,1000.0,682.135265910643
2025-02-14,AU8888.SHFE,AU8888,SHFE,686.664,689.545,684.847,689.239,330252,226795504600.0,369793,750.853,614.334,,,,Normal,684.6859999999999,0.005510152276858582,0.000635096152548275,-0.08308261103126136,0.13287843722120404,,0.8333333333333334,0.9090909090909091,0.9565217391304348,0.9629629629629629,1000.0,686.7346892675896
2025-02-17,AU8888.SHFE,AU8888,SHFE,687.111,687.441,675.127,677.865,600229,408100728020.0,356080,755.946,618.491,,,,Normal,684.267,-0.01650225828776375,-1.6553555643873554,-1.5736891469562466,-2.098341589753802,,0.16666666666666666,0.45454545454545453,0.7391304347826086,0.7857142857142857,1000.0,679.9083816676635
2025-02-18,AU8888.SHFE,AU8888,SHFE,678.917,684.75,678.187,683.713,269815,183565894440.0,354349,748.377,612.301,,,,Normal,683.6852,0.00862708651427635,1.0054514584565035,0.24156741548279326,0.5308313736024032,,0.5,0.6363636363636364,0.8260869565217391,0.8620689655172413,1000.0,680.3398418916665
2025-02-19,AU8888.SHFE,AU8888,SHFE,685.095,691.197,684.51,688.805,366010,251579942720.0,362173,748.869,612.713,,,,Normal,685.0168,0.007447569374869234,0.5843230109763013,0.5638789717070752,0.4023490567793114,,0.6666666666666666,0.8181818181818182,0.9130434782608695,0.9333333333333333,1000.0,687.3581124013006
2025-02-20,AU8888.SHFE,AU8888,SHFE,689.661,691.469,685.318,691.171,382035,263115311560.0,365683,756.551,618.993,,,,Normal,686.1586,0.00343493441540077,0.18673427183738078,0.019917164267814133,-0.019277824624510723,,0.8333333333333334,0.9090909090909091,0.9565217391304348,0.967741935483871,1000.0,688.7204354574843
2025-02-21,AU8888.SHFE,AU8888,SHFE,689.378,690.168,683.114,685.662,520655,357349017280.0,366694,758.285,620.418,,,,Normal,685.4432,-0.007970531171012651,-0.7177176993049404,-1.1351560204666158,-1.210765813406889,,0.5,0.5454545454545454,0.782608695652174,0.84375,1000.0,686.3451177459162
2025-02-24,AU8888.SHFE,AU8888,SHFE,686.155,688.165,683.51,687.296,421951,289172795760.0,368247,755.63,618.242,,,,Normal,687.3294,0.002383098377918058,-0.06839990857475413,0.15667247264955134,-0.11588856818527636,,0.5,0.6363636363636364,0.8260869565217391,0.8787878787878788,1000.0,685.3231672871968
2025-02-25,AU8888.SHFE,AU8888,SHFE,689.368,690.946,685.199,686.933,397084,273047105340.0,364417,754.604,617.402,,,,Normal,687.9734000000001,-0.0005281567185027036,-0.28811750611908815,-0.07912798498436169,-0.3988129966923163,,0.3333333333333333,0.5454545454545454,0.782608695652174,0.8529411764705882,1000.0,687.6305903536784
2025-02-26,AU8888.SHFE,AU8888,SHFE,685.09,687.883,675.833,680.714,599405,408598534980.0,342324,757.226,619.553,14.67,17.12,-2.45,Normal,686.3552,-0.009053284672595363,-1.2872798259839084,-1.1278115106143236,-1.1903821677009327,,0.16666666666666666,0.18181818181818182,0.5217391304347826,0.6857142857142857,1000.0,681.6735512383113
2025-02-27,AU8888.SHFE,AU8888,SHFE,682.466,683.845,676.839,678.545,494861,336163209300.0,337395,750.69,614.189,13.39,16.38,-2.99,Green Bar,683.83,-0.0031863602041387606,0.11165441647724866,-0.28523283192855325,-0.5895721655064798,,0.16666666666666666,0.18181818181818182,0.43478260869565216,0.6388888888888888,1000.0,679.3083498194443
2025-02-28,AU8888.SHFE,AU8888,SHFE,676.634,679.613,673.157,673.601,494292,334001457820.0,329682,748.165,612.127,11.84,15.47,-3.63,Green Bar,681.4178,-0.007286178514321007,-0.8907655060636298,-0.6609613514908275,-0.9465671441982523,,0.16666666666666666,0.09090909090909091,0.34782608695652173,0.5945945945945946,1000.0,675.7168997677486
2025-03-03,AU8888.SHFE,AU8888,SHFE,671.88,674.637,667.054,674.127,557851,373729723720.0,314675,744.24,608.913,10.54,14.48,-3.95,Green Bar,678.784,0.0007808777005970935,1.2232486087576397,0.2211393422344221,-0.12026722950177678,,0.3333333333333333,0.18181818181818182,0.34782608695652173,0.6052631578947368,1000.0,669.9454222005518
2025-03-04,AU8888.SHFE,AU8888,SHFE,676.554,680.538,674.799,678.666,365023,246949531120.0,318521,738.311,604.073,9.75,13.54,-3.78,Shrinking Green Bar,677.1306000000001,0.006733152655211905,1.6035025743365063,1.3129077512215361,0.44255533607471254,,0.6666666666666666,0.36363636363636365,0.43478260869565216,0.6666666666666666,1000.0,676.5314271155517
2025-03-05,AU8888.SHFE,AU8888,SHFE,684.532,684.803,679.923,684.066,484927,330433568860.0,323757,745.44,609.912,9.46,12.72,-3.26,Shrinking Green Bar,677.801,0.007956785812166745,1.20200800908512,1.499608901593157,0.5428238623278481,,0.8333333333333334,0.5454545454545454,0.6086956521739131,0.775,1000.0,681.408890121606
