datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,CY8888.CZCE,CY8888,CZCE,19393.01,19418.374,19331.153,19362.79,3252,315675300.0,13389,20184.451,18598.4,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,5.0,19414.225092250923
2025-01-03,CY8888.CZCE,CY8888,CZCE,19392.205,19431.615,19215.886,19239.59,5406,522987300.0,16151,20177.769,18595.058,,,,Normal,,-0.006362719422149388,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.0,19348.40177580466
2025-01-06,CY8888.CZCE,CY8888,CZCE,19243.093,19271.942,19161.162,19171.566,3999,384748950.0,18077,20105.461,18536.485,,,,Normal,,-0.003535626278938442,,,,,0.25,0.25,0.25,0.25,5.0,19242.25806451613
2025-01-07,CY8888.CZCE,CY8888,CZCE,19240.003,19307.105,19179.447,19213.504,4180,402301950.0,19688,19998.772,18441.573,,,,Normal,,0.002187510399515702,,,,,0.4,0.4,0.4,0.4,5.0,19248.897129186604
2025-01-08,CY8888.CZCE,CY8888,CZCE,19216.288,19274.46,19183.588,19249.953,3049,293139050.0,20784,20007.238,18451.539,,,,Normal,19247.480600000003,0.0018970511573526139,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,5.0,19228.53722531978
2025-01-09,CY8888.CZCE,CY8888,CZCE,19267.185,19321.782,19158.828,19312.023,5610,540083675.0,22414,19995.698,18439.806,,,,Normal,19237.327200000003,0.003224423457033776,0.9971494702633142,,,,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.7142857142857143,5.0,19254.319964349375
2025-01-10,CY8888.CZCE,CY8888,CZCE,19219.329,19437.299,19219.036,19387.011,5166,500716750.0,23226,20018.794,18455.455,,,,Normal,19266.8114,0.003882969691989091,0.8935300328457467,,,,0.8333333333333334,0.875,0.875,0.875,5.0,19385.085172280295
2025-01-13,CY8888.CZCE,CY8888,CZCE,19411.835,19556.425,19365.426,19494.186,5358,521655925.0,23757,20156.721,18586.278,,,,Normal,19331.335400000004,0.005528185855983914,1.6745241237437076,,,,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,5.0,19472.0390070922
2025-01-14,CY8888.CZCE,CY8888,CZCE,19523.634,19682.042,19436.038,19629.597,5950,582638700.0,23572,20240.719,18670.115,,,,Normal,19414.554,0.0069462248898211065,1.4997647459187553,,,,0.8333333333333334,0.9,0.9,0.9,5.0,19584.49411764706
2025-01-15,CY8888.CZCE,CY8888,CZCE,19582.57,19647.78,19544.134,19569.802,5035,493408275.0,23404,20358.565,18779.972,,,,Normal,19478.523800000003,-0.003046165440890203,-1.8514162392613784,,,,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.8181818181818182,5.0,19599.137040714995
