datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,EG8888.DCE,EG8888,DCE,4848.908,4867.928,4815.548,4851.394,168278,8159768410.0,370501,5167.349,4492.232,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,10.0,4848.981096756557
2025-01-03,EG8888.DCE,EG8888,DCE,4854.333,4856.161,4714.371,4737.985,315411,15106284550.0,323616,5184.042,4506.961,,,,Normal,,-0.02337658000978704,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.0,4789.39686631094
2025-01-06,EG8888.DCE,EG8888,DCE,4740.205,4770.928,4696.9,4703.648,200057,9474767480.0,312702,5119.73,4450.748,,,,Normal,,-0.007247173640271054,,,,,0.25,0.25,0.25,0.25,10.0,4736.033970318459
2025-01-07,EG8888.DCE,EG8888,DCE,4707.615,4723.228,4679.041,4687.767,160891,7564308630.0,314960,5061.88,4400.76,,,,Normal,,-0.003376315574634914,,,,,0.2,0.2,0.2,0.2,10.0,4701.511352406287
2025-01-08,EG8888.DCE,EG8888,DCE,4692.964,4723.375,4683.655,4699.469,150325,7076203120.0,307227,5026.666,4369.426,,,,Normal,4736.0526,0.002496284478302746,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.0,4707.269662398137
2025-01-09,EG8888.DCE,EG8888,DCE,4705.261,4762.237,4690.818,4750.271,256061,12103385770.0,313090,5034.672,4377.263,,,,Normal,4715.8279999999995,0.010810157488005512,1.3132965544366786,,,,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.7142857142857143,10.0,4726.758768418463
2025-01-10,EG8888.DCE,EG8888,DCE,4737.194,4759.935,4728.257,4729.536,131222,6224698240.0,307671,5053.392,4393.857,,,,Normal,4714.138199999999,-0.004365014122352129,-0.6283968676965932,,,,0.6666666666666666,0.5,0.5,0.5,10.0,4743.639206840317
2025-01-13,EG8888.DCE,EG8888,DCE,4755.907,4801.656,4736.868,4772.824,229975,10974726950.0,312875,5073.08,4409.7,,,,Normal,4727.9734,0.009152694894382751,0.996834670719719,,,,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7777777777777778,10.0,4772.139123817807
2025-01-14,EG8888.DCE,EG8888,DCE,4772.206,4783.38,4739.818,4773.543,146762,6987811110.0,309253,5106.408,4438.801,,,,Normal,4745.128599999999,0.00015064456598445908,-0.6196512982606515,,,,0.8333333333333334,0.8,0.8,0.8,10.0,4761.321806734713
2025-01-15,EG8888.DCE,EG8888,DCE,4773.557,4830.082,4763.011,4815.116,215371,10342313120.0,331393,5093.876,4428.176,,,,Normal,4768.258,0.008709044833156598,0.6435911235335251,,,,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.8181818181818182,10.0,4802.091795088475
2025-01-16,EG8888.DCE,EG8888,DCE,4815.482,4864.19,4791.864,4828.502,212611,10254201910.0,338488,5139.8,4468.056,,,,Normal,4783.9042,0.0027799953313689674,-0.09821046011197739,0.33466278536799354,,,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8333333333333334,10.0,4822.987479481306
2025-01-17,EG8888.DCE,EG8888,DCE,4828.513,4834.432,4784.17,4809.698,159093,7642155930.0,336648,5161.31,4487.589,,,,Normal,4799.9366,-0.0038943755226776844,-1.4523110035412847,-0.895906401528737,,,0.5,0.7272727272727273,0.6923076923076923,0.6923076923076923,10.0,4803.5777375497355
2025-01-20,EG8888.DCE,EG8888,DCE,4800.161,4810.11,4733.021,4747.814,213369,10161459720.0,309911,5144.47,4472.741,,,,Normal,4794.9346,-0.012866504300270032,-1.645183443404131,-1.970311548741252,,,0.16666666666666666,0.36363636363636365,0.42857142857142855,0.42857142857142855,10.0,4762.3880320009
2025-01-21,EG8888.DCE,EG8888,DCE,4753.49,4784.194,4750.186,4751.496,126964,6053124790.0,299414,5093.96,4428.167,,,,Normal,4790.525200000001,0.0007755147948087515,0.2318728038351542,-0.08724250297355744,,,0.3333333333333333,0.45454545454545453,0.5333333333333333,0.5333333333333333,10.0,4767.591435367506
2025-01-22,EG8888.DCE,EG8888,DCE,4751.664,4768.174,4728.932,4753.111,127569,6059835410.0,295485,5100.419,4434.56,,,,Normal,4778.1242,0.0003398929516094107,0.5214177907221513,-0.1193471005402307,,,0.5,0.45454545454545453,0.5625,0.5625,10.0,4750.241367416849
2025-01-23,EG8888.DCE,EG8888,DCE,4753.788,4759.808,4720.811,4728.383,119276,5653801700.0,290450,5080.443,4416.586,,,,Normal,4758.1004,-0.0052024873814223715,-0.20947440620916186,-0.7593968867003497,,,0.16666666666666666,0.09090909090909091,0.23529411764705882,0.23529411764705882,10.0,4740.100020121399
2025-01-24,EG8888.DCE,EG8888,DCE,4729.52,4740.229,4703.216,4717.149,115127,5433155100.0,279491,5068.855,4407.123,,,,Normal,4739.5906,-0.0023758650684598814,0.2989042394840848,-0.34555499658700034,,,0.16666666666666666,0.09090909090909091,0.2222222222222222,0.2222222222222222,10.0,4719.270979005793
2025-01-27,EG8888.DCE,EG8888,DCE,4730.307,4752.653,4705.385,4719.041,102385,4838729080.0,268904,5142.337,4294.527,,,,Normal,4733.836,0.00040108972601871073,0.7043166773636936,0.28441218621685166,,,0.3333333333333333,0.18181818181818182,0.2631578947368421,0.2631578947368421,10.0,4726.013654343898
2025-02-05,EG8888.DCE,EG8888,DCE,4719.942,4733.463,4655.695,4662.16,162253,7589331370.0,283919,5149.78,4300.163,,,,Normal,4715.968800000001,-0.012053508329340712,-1.7896971455768071,-1.5586748822907244,,,0.16666666666666666,0.09090909090909091,0.05,0.05,10.0,4677.467516779351
2025-02-06,EG8888.DCE,EG8888,DCE,4655.681,4686.36,4634.052,4667.283,187204,8715768470.0,305516,5004.628,4350.623,,,,Normal,4698.8032,0.0010988468864219225,0.9912762915212914,0.8043911552089282,,,0.3333333333333333,0.18181818181818182,0.09523809523809523,0.09523809523809523,10.0,4655.759743381552
