datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,LG8888.DCE,LG8888,DCE,834.156,842.903,829.646,833.406,26875,2013969060.0,21392,881.775,782.248,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,90.0,832.6487069767442
2025-01-03,LG8888.DCE,LG8888,DCE,833.583,836.649,827.46,833.397,14794,1103055930.0,20039,885.875,786.243,,,,Normal,,-1.0799058322019661e-05,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,90.0,828.4559280789509
2025-01-06,LG8888.DCE,LG8888,DCE,835.537,850.353,832.155,845.092,43182,3257630595.0,27487,881.542,782.019,,,,Normal,,0.014032927884309654,,,,,0.75,0.75,0.75,0.75,90.0,838.2172085591219
2025-01-07,LG8888.DCE,LG8888,DCE,843.31,852.328,839.449,851.439,36293,2758234950.0,30752,891.202,790.8,,,,Normal,,0.007510424900484258,,,,,0.8,0.8,0.8,0.8,90.0,844.434326178602
2025-01-08,LG8888.DCE,LG8888,DCE,851.892,861.196,847.042,852.429,43214,3313155150.0,32004,897.3,795.97,,,,Normal,843.1526,0.0011627374362697118,,,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,90.0,851.8728884157912
2025-01-09,LG8888.DCE,LG8888,DCE,850.414,855.408,845.273,850.025,24467,1867639950.0,30806,905.04,802.704,,,,Normal,846.4763999999999,-0.0028201762258205365,-1.121280379179412,,,,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,90.0,848.1446438059427
2025-01-10,LG8888.DCE,LG8888,DCE,850.192,866.594,848.854,865.057,36079,2782241280.0,35571,901.271,799.912,,,,Normal,852.8084000000001,0.017684185759242466,1.328411583669618,,,,0.8333333333333334,0.875,0.875,0.875,90.0,856.8361650821807
2025-01-13,LG8888.DCE,LG8888,DCE,865.557,884.175,864.819,872.284,58679,4611892095.0,37410,910.072,807.738,,,,Normal,858.2468000000001,0.00835436277609447,0.28239534915801173,,,,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,90.0,873.2808244857615
2025-01-14,LG8888.DCE,LG8888,DCE,871.289,875.965,857.729,864.74,35791,2781048060.0,34832,927.489,823.141,,,,Normal,860.9069999999999,-0.008648559414135781,-1.2913733487764791,,,,0.5,0.7,0.7,0.7,90.0,863.360453745355
2025-01-15,LG8888.DCE,LG8888,DCE,863.788,874.809,847.541,858.544,61116,4712113305.0,32320,917.524,814.163,,,,Normal,862.1299999999999,-0.0071651594698984855,-0.8597645565082868,,,,0.3333333333333333,0.6363636363636364,0.6363636363636364,0.6363636363636364,90.0,856.6793392892205
2025-01-16,LG8888.DCE,LG8888,DCE,863.75,871.85,860.698,868.022,26881,2089041255.0,32374,910.452,807.971,,,,Normal,865.7293999999999,0.011039620566913433,0.6529925378973743,0.8139818266306909,,,0.6666666666666666,0.8181818181818182,0.8333333333333334,0.8333333333333334,90.0,863.4935270265244
2025-01-17,LG8888.DCE,LG8888,DCE,868.675,872.67,860.864,867.945,23379,1818353835.0,32257,918.164,814.718,,,,Normal,866.307,-8.870742907440832e-05,-0.09909602755717149,-0.49280803395891126,,,0.5,0.7272727272727273,0.7692307692307693,0.7692307692307693,90.0,864.1914324821421
2025-01-20,LG8888.DCE,LG8888,DCE,868.793,877.137,863.318,867.151,33118,2585063475.0,32382,918.488,815.12,,,,Normal,865.2804,-0.0009148045095024315,0.03458793204673432,-0.44464777089632834,,,0.5,0.6363636363636364,0.7142857142857143,0.7142857142857143,90.0,867.2905217706383
2025-01-21,LG8888.DCE,LG8888,DCE,868.019,868.519,857.993,859.765,18793,1455449895.0,31370,921.545,818.054,,,,Normal,864.2854000000001,-0.008517547693538963,-1.0658898523537066,-1.136109580983355,,,0.3333333333333333,0.36363636363636365,0.5333333333333333,0.5333333333333333,90.0,860.5153780663013
2025-01-22,LG8888.DCE,LG8888,DCE,857.826,865.519,851.434,860.466,20851,1605078630.0,28871,914.537,811.155,,,,Normal,864.6698,0.0008153390752123624,0.05583675550458873,-0.018904992186348,,,0.3333333333333333,0.36363636363636365,0.5625,0.5625,90.0,855.3166274998802
2025-01-23,LG8888.DCE,LG8888,DCE,861.022,865.233,859.801,864.777,10335,799409565.0,28420,909.419,807.01,,,,Normal,864.0208,0.005010075935597769,1.3091592449910587,0.3891569077592939,,,0.5,0.45454545454545453,0.6470588235294118,0.6470588235294118,90.0,859.4415578132559
2025-01-24,LG8888.DCE,LG8888,DCE,865.264,877.245,863.036,874.404,15823,1234415250.0,29102,914.118,810.701,,,,Normal,865.3126,0.011132349727154933,1.4793544747132819,1.3794352635166216,,,0.8333333333333334,0.9090909090909091,0.9444444444444444,0.9444444444444444,90.0,866.8220312203754
2025-01-27,LG8888.DCE,LG8888,DCE,873.783,880.019,872.733,878.659,11393,896264280.0,28862,939.02,800.372,,,,Normal,867.6142,0.004866171700952826,0.33980926002381207,0.5881478487058511,,,0.8333333333333334,0.9090909090909091,0.9473684210526315,0.9473684210526315,90.0,874.0886509260072
2025-02-05,LG8888.DCE,LG8888,DCE,885.013,885.241,866.28,870.679,18987,1488952935.0,29207,946.63,806.969,,,,Normal,869.7970000000001,-0.00908202158061322,-1.7400091950483616,-1.3883082187683409,,,0.5,0.7272727272727273,0.8,0.8,90.0,871.3288829198925
2025-02-06,LG8888.DCE,LG8888,DCE,873.893,892.824,866.47,892.724,34814,2753475660.0,37823,925.219,820.771,,,,Normal,876.2485999999999,0.02531931974929913,1.6063290537687263,2.2085041576141964,,,0.8333333333333334,0.9090909090909091,0.9523809523809523,0.9523809523809523,90.0,878.7893950709484
2025-02-07,LG8888.DCE,LG8888,DCE,891.865,894.732,885.202,891.765,22201,1775579040.0,39855,933.03,827.776,,,,Normal,881.6461999999999,-0.0010742401906973509,-0.6274067993622742,-0.40364131520966123,,,0.6666666666666666,0.8181818181818182,0.9090909090909091,0.9090909090909091,90.0,888.6381694518265
2025-02-10,LG8888.DCE,LG8888,DCE,892.059,899.541,888.303,899.296,27675,2226499605.0,45427,943.157,836.911,,,,Normal,886.6246000000001,0.00844504998514184,0.23981981324057583,0.5070156593377402,,,0.8333333333333334,0.9090909090909091,0.9565217391304348,0.9565217391304348,90.0,893.9072990063233
2025-02-11,LG8888.DCE,LG8888,DCE,897.935,900.201,885.147,893.842,30696,2462406930.0,44896,948.056,840.928,,,,Normal,889.6612000000001,-0.006064743977511333,-0.7708219318782712,-0.9225882282005607,-1.043651196263196,,0.6666666666666666,0.8181818181818182,0.9130434782608695,0.9166666666666666,90.0,891.3238532707844
2025-02-12,LG8888.DCE,LG8888,DCE,894.188,902.074,891.496,893.038,34920,2815475535.0,47918,944.894,838.701,,,,Normal,894.133,-0.0008994878289451114,-0.5433678783178257,-0.5120977968709819,-0.45807358278161503,,0.5,0.7272727272727273,0.8695652173913043,0.88,90.0,895.8494129438717
2025-02-13,LG8888.DCE,LG8888,DCE,891.895,892.532,872.384,876.343,50058,3976795710.0,47863,950.009,842.901,,,,Normal,890.8567999999999,-0.01869461321914634,-1.696826346073303,-1.792250884701368,-2.106131334840847,,0.16666666666666666,0.36363636363636365,0.6956521739130435,0.7307692307692307,90.0,882.7084382116744
2025-02-14,LG8888.DCE,LG8888,DCE,875.775,891.049,874.803,876.934,41952,3329466030.0,46581,935.795,830.602,,,,Normal,887.8906,0.0006743934737882817,0.44294426506919626,-0.0688381648991146,-0.07431744575957527,,0.3333333333333333,0.36363636363636365,0.6956521739130435,0.7407407407407407,90.0,881.8189120900076
2025-02-17,LG8888.DCE,LG8888,DCE,879.908,890.441,876.294,887.851,36527,2903178375.0,48460,934.749,829.544,,,,Normal,885.6016,0.012449055459133884,1.4793048005573883,0.9388613446253624,1.0684277070216326,,0.5,0.45454545454545453,0.7391304347826086,0.7857142857142857,90.0,883.1148876173789
2025-02-18,LG8888.DCE,LG8888,DCE,886.927,890.451,880.287,886.331,23960,1907819100.0,47745,936.332,831.114,,,,Normal,884.0994000000001,-0.0017119989728006102,-0.007582818223288017,-0.22938365594704532,-0.37186134631765927,,0.5,0.36363636363636365,0.6956521739130435,0.7586206896551724,90.0,884.7241235392321
