datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,NR8888.INE,NR8888,INE,14942.394,14977.556,14665.764,14700.341,114057,16880156550.0,124753,15790.565,14003.529,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,10.0,14799.75499092559
2025-01-03,NR8888.INE,NR8888,INE,14705.215,14785.174,13950.952,14169.732,215429,30804954200.0,118952,15692.797,13915.519,,,,Normal,,-0.03609501303405138,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.0,14299.35347608725
2025-01-06,NR8888.INE,NR8888,INE,14215.141,14258.738,14029.751,14123.982,144852,20519628100.0,114294,15148.305,13430.301,,,,Normal,,-0.0032287131471505637,,,,,0.25,0.25,0.25,0.25,10.0,14165.926669980394
2025-01-07,NR8888.INE,NR8888,INE,14205.372,14272.578,13712.018,13963.713,166715,23287020750.0,117198,15013.803,13314.114,,,,Normal,,-0.011347295684743908,,,,,0.2,0.2,0.2,0.2,10.0,13968.161683111897
2025-01-08,NR8888.INE,NR8888,INE,14013.177,14231.187,13999.863,14159.849,132587,18720755550.0,117008,14805.757,13130.283,,,,Normal,14223.5234,0.014046120827605035,,,,,0.5,0.5,0.5,0.5,10.0,14119.60112982419
2025-01-09,NR8888.INE,NR8888,INE,14173.028,14443.266,14081.714,14373.481,163672,23370820550.0,119738,14965.021,13269.778,,,,Normal,14158.151399999999,0.015087166536874808,1.0296032380402822,,,,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.7142857142857143,10.0,14279.058452270394
2025-01-10,NR8888.INE,NR8888,INE,14400.499,14778.815,14395.671,14573.706,206018,30069112200.0,126653,15124.109,13411.809,,,,Normal,14238.9462,0.013930167646932556,0.7541534090616223,,,,0.8333333333333334,0.75,0.75,0.75,10.0,14595.38108320632
2025-01-13,NR8888.INE,NR8888,INE,14573.804,14754.14,14488.716,14531.539,203944,29868050500.0,129722,15453.748,13702.045,,,,Normal,14320.4576,-0.002893361510105885,-0.797061633799652,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,10.0,14645.22148236771
2025-01-14,NR8888.INE,NR8888,INE,14472.92,14988.562,14419.93,14983.255,244593,36082315150.0,141032,15498.861,13745.937,,,,Normal,14524.366,0.03108521402997977,1.5654916134261236,,,,0.8333333333333334,0.9,0.9,0.9,10.0,14751.981925075534
2025-01-15,NR8888.INE,NR8888,INE,14951.604,15141.158,14903.504,15049.928,188288,28272269650.0,149757,15617.03,13848.235,,,,Normal,14702.3818,0.004449834164872657,-0.6882473914015165,,,,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,10.0,15015.438928662474
2025-01-16,NR8888.INE,NR8888,INE,14999.113,15334.18,14943.959,15145.385,200615,30504438200.0,153301,15885.821,14086.919,,,,Normal,14856.762599999998,0.0063426881510662,-0.36664071097453854,0.18512624831968516,,,0.8333333333333334,0.9090909090909091,0.9166666666666666,0.9166666666666666,10.0,15205.462303416993
