datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,RB8888.SHFE,RB8888,SHFE,3302.193,3330.903,3281.556,3302.627,1549961,51313565590.0,2152784,3472.996,3142.302,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,10.0,3310.635918581177
2025-01-03,RB8888.SHFE,RB8888,SHFE,3302.882,3308.099,3259.64,3270.884,1781275,58447442200.0,2269203,3473.236,3142.457,,,,Normal,,-0.009611439620641371,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.0,3281.213860858093
2025-01-06,RB8888.SHFE,RB8888,SHFE,3264.447,3288.083,3250.769,3253.466,1834818,59941129300.0,2312781,3444.833,3116.713,,,,Normal,,-0.005325165918449004,,,,,0.25,0.25,0.25,0.25,10.0,3266.8705724491474
2025-01-07,RB8888.SHFE,RB8888,SHFE,3271.213,3279.397,3231.487,3238.115,1482993,48182793340.0,2345814,3430.257,3103.177,,,,Normal,,-0.004718352673733217,,,,,0.2,0.2,0.2,0.2,10.0,3249.023652842596
2025-01-08,RB8888.SHFE,RB8888,SHFE,3238.063,3249.755,3202.836,3209.628,1455989,46974505260.0,2418798,3410.662,3085.561,,,,Normal,3254.944,-0.008797402192324721,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,10.0,3226.2953401433665
2025-01-09,RB8888.SHFE,RB8888,SHFE,3206.726,3217.212,3183.441,3204.34,1672211,53533522470.0,2429969,3387.493,3064.399,,,,Normal,3235.2866,-0.0016475429551336962,1.5102918547040802,,,,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,10.0,3201.3616983741886
2025-01-10,RB8888.SHFE,RB8888,SHFE,3205.431,3214.972,3188.077,3201.536,1267689,40607875910.0,2418718,3360.17,3039.422,,,,Normal,3221.417,-0.0008750631955410926,1.1980383865091566,,,,0.16666666666666666,0.125,0.125,0.125,10.0,3203.2995403446744
2025-01-13,RB8888.SHFE,RB8888,SHFE,3213.532,3255.329,3207.55,3249.41,1834875,59366178060.0,2337380,3362.251,3041.43,,,,Normal,3220.6058,0.014953447345274151,1.8773115292714078,,,,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.5555555555555556,10.0,3235.434460658083
2025-01-14,RB8888.SHFE,RB8888,SHFE,3248.8,3294.178,3240.58,3284.767,1482354,48453776400.0,2324475,3396.515,3073.424,,,,Normal,3229.9362,0.010881052252562862,0.9142633952496683,,,,0.8333333333333334,0.8,0.8,0.8,10.0,3268.704803306093
2025-01-15,RB8888.SHFE,RB8888,SHFE,3286.57,3305.157,3271.776,3292.005,1280288,42098158190.0,2308732,3431.854,3104.798,,,,Normal,3246.4116000000004,0.002203504845244897,-0.4369969236061293,,,,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.8181818181818182,10.0,3288.1787683708667
2025-01-16,RB8888.SHFE,RB8888,SHFE,3292.669,3333.57,3286.503,3328.38,1602289,53026004280.0,2343419,3452.953,3123.809,,,,Normal,3271.2196,0.011049497190921631,0.5715343137755883,1.2359091728907923,,,0.8333333333333334,0.9090909090909091,0.9166666666666666,0.9166666666666666,10.0,3309.390770329198
2025-01-17,RB8888.SHFE,RB8888,SHFE,3329.957,3378.887,3317.575,3373.606,1756574,58798231560.0,2405948,3475.433,3144.256,,,,Normal,3305.6336,0.013587991755749096,0.687331594704424,1.2615646010790418,,,0.8333333333333334,0.9090909090909091,0.9230769230769231,0.9230769230769231,10.0,3347.324482771577
2025-01-20,RB8888.SHFE,RB8888,SHFE,3372.915,3393.073,3342.657,3357.37,1876470,63130311020.0,2358197,3514.972,3179.829,,,,Normal,3327.2256,-0.004812654471209821,-1.6566662981270006,-0.9705464530815098,,,0.6666666666666666,0.8181818181818182,0.8571428571428571,0.8571428571428571,10.0,3364.3123002232915
2025-01-21,RB8888.SHFE,RB8888,SHFE,3358.967,3387.173,3347.57,3356.535,1551016,52184117520.0,2336603,3533.42,3196.461,,,,Normal,3341.5792,-0.000248706576874147,-0.6647138355228879,-0.490173288903725,,,0.5,0.7272727272727273,0.8,0.8,10.0,3364.5118760863847
2025-01-22,RB8888.SHFE,RB8888,SHFE,3352.766,3356.695,3322.065,3339.499,1377254,45919034350.0,2267733,3534.025,3196.926,,,,Normal,3351.078,-0.0050754721759195265,-1.0069836655034072,-1.2285193872848685,,,0.3333333333333333,0.6363636363636364,0.75,0.75,10.0,3334.1006343056547
