datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,TL8888.CFFEX,TL8888,CFFEX,119.308,119.893,119.127,119.868,110340,132031633400.0,113791,122.871,114.576,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,10000.0,119.6589028457495
2025-01-03,TL8888.CFFEX,TL8888,CFFEX,120.587,120.871,119.519,120.044,201928,242790178900.0,115951,123.978,115.603,,,,Normal,,0.00146828177662095,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,10000.0,120.23601427241393
2025-01-06,TL8888.CFFEX,TL8888,CFFEX,119.827,120.577,119.392,120.565,122529,147100844800.0,117165,124.035,115.66,,,,Normal,,0.004340075305721225,,,,,0.75,0.75,0.75,0.75,10000.0,120.05390136212652
2025-01-07,TL8888.CFFEX,TL8888,CFFEX,120.44,120.493,119.747,120.16,104768,125895783900.0,116741,124.64,116.225,,,,Normal,,-0.0033591838427404763,,,,,0.6,0.6,0.6,0.6,10000.0,120.16625677687844
2025-01-08,TL8888.CFFEX,TL8888,CFFEX,119.931,120.388,119.832,120.16,102681,123427594100.0,117737,124.263,115.873,,,,Normal,120.1594,0.0,,,,,0.5,0.5,0.5,0.5,10000.0,120.2049007119136
2025-01-09,TL8888.CFFEX,TL8888,CFFEX,120.08,120.178,119.422,119.491,111197,133250953600.0,116119,124.329,115.934,,,,Normal,120.08399999999999,-0.005567576564580512,-1.4116288347333636,,,,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,10000.0,119.83322715540886
2025-01-10,TL8888.CFFEX,TL8888,CFFEX,118.534,119.702,118.275,119.63,143950,171422361700.0,121368,123.773,115.403,,,,Normal,120.0012,0.001163267526424594,0.5328915641947856,,,,0.3333333333333333,0.25,0.25,0.25,10000.0,119.08465557485238
2025-01-13,TL8888.CFFEX,TL8888,CFFEX,119.689,120.03,119.421,119.805,99093,118715751000.0,119272,123.703,115.353,,,,Normal,119.8492,0.0014628437682855377,0.9898713099548618,,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,10000.0,119.80235839060276
2025-01-14,TL8888.CFFEX,TL8888,CFFEX,119.46,119.862,119.275,119.8,121888,145834267200.0,117909,124.072,115.683,,,,Normal,119.7772,-4.1734485205169314e-05,0.21694256112675142,,,,0.5,0.3,0.3,0.3,10000.0,119.64612365450249
2025-01-15,TL8888.CFFEX,TL8888,CFFEX,120.308,120.577,120.105,120.435,86018,103580187800.0,118751,123.907,115.537,,,,Normal,119.83220000000001,0.005300500834724664,1.3790418585246422,,,,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.8181818181818182,10000.0,120.41687530516869
2025-01-16,TL8888.CFFEX,TL8888,CFFEX,120.262,120.674,119.978,120.405,109045,131288794200.0,119555,124.666,116.237,,,,Normal,120.01500000000001,-0.0002490970232905676,-0.8883225974543708,-0.22995416781785152,,,0.6666666666666666,0.7272727272727273,0.75,0.75,10000.0,120.39872914851667
2025-01-17,TL8888.CFFEX,TL8888,CFFEX,120.516,120.642,119.813,119.834,104484,125723254600.0,124238,124.564,116.155,,,,Normal,120.0558,-0.004742327976412941,-1.5749606206419389,-1.3486611998469786,,,0.5,0.45454545454545453,0.38461538461538464,0.38461538461538464,10000.0,120.32775793422917
2025-01-20,TL8888.CFFEX,TL8888,CFFEX,119.606,120.009,119.493,119.662,81174,97270620500.0,125104,124.175,115.787,,,,Normal,120.0272,-0.001435318857753165,-0.37108584820839935,-0.22586785125208525,,,0.16666666666666666,0.2727272727272727,0.21428571428571427,0.21428571428571427,10000.0,119.82977369601103
2025-01-21,TL8888.CFFEX,TL8888,CFFEX,119.622,120.305,119.412,120.297,98832,118492672100.0,126341,123.924,115.555,,,,Normal,120.12660000000001,0.005306613628386581,1.136455422789517,1.5280929387594533,,,0.5,0.7272727272727273,0.7333333333333333,0.7333333333333333,10000.0,119.89302260401489
2025-01-22,TL8888.CFFEX,TL8888,CFFEX,120.325,120.527,120.136,120.229,74900,90225988600.0,124680,124.244,115.855,,,,Normal,120.0854,-0.0005652676292842163,-0.07040465709597092,-0.18480886451236475,,,0.5,0.6363636363636364,0.6875,0.6875,10000.0,120.46193404539386
2025-01-23,TL8888.CFFEX,TL8888,CFFEX,120.25,120.419,120.017,120.097,72696,87457600900.0,125411,124.473,116.065,,,,Normal,120.02380000000001,-0.0010979048316130946,-0.1816287015272469,-0.5572124768330947,,,0.5,0.5454545454545454,0.5294117647058824,0.5294117647058824,10000.0,120.3059327885991
2025-01-24,TL8888.CFFEX,TL8888,CFFEX,120.055,120.358,119.523,120.358,78243,93869679100.0,125745,124.415,116.007,,,,Normal,120.1286,0.0021732432950032354,0.5077075385306982,0.5341548736425786,,,0.8333333333333334,0.7272727272727273,0.7777777777777778,0.7777777777777778,10000.0,119.9719835640249
