datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,TS8888.CFFEX,TS8888,CFFEX,103.0,103.035,102.978,102.987,37863,78001325280.0,65506,103.487,102.459,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,20000.0,103.00468172094129
2025-01-03,TS8888.CFFEX,TS8888,CFFEX,103.009,103.152,103.007,103.152,55397,114211330600.0,65345,103.509,102.481,,,,Normal,,0.0016021439599174236,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,20000.0,103.08440041879524
2025-01-06,TS8888.CFFEX,TS8888,CFFEX,103.138,103.146,103.044,103.099,42604,87848914000.0,62947,103.644,102.616,,,,Normal,,-0.0005138048704823595,,,,,0.5,0.5,0.5,0.5,20000.0,103.09937329828185
2025-01-07,TS8888.CFFEX,TS8888,CFFEX,103.087,103.1,103.014,103.043,34924,71978436640.0,63491,103.619,102.591,,,,Normal,,-0.0005431672470149751,,,,,0.4,0.4,0.4,0.4,20000.0,103.05010399725117
2025-01-08,TS8888.CFFEX,TS8888,CFFEX,103.047,103.055,102.989,103.005,31761,65439264600.0,63961,103.55,102.522,,,,Normal,103.05720000000001,-0.0003687780829363385,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,20000.0,103.01826863134032
2025-01-09,TS8888.CFFEX,TS8888,CFFEX,103.006,103.018,102.87,102.87,51214,105423120720.0,63123,103.523,102.495,,,,Normal,103.03380000000001,-0.001310615989514985,-1.1151812466024138,,,,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,20000.0,102.92412301323857
2025-01-10,TS8888.CFFEX,TS8888,CFFEX,102.751,102.835,102.688,102.822,45502,93512876960.0,62990,103.399,102.371,,,,Normal,102.96779999999998,-0.000466608340624064,0.5114368940658685,,,,0.16666666666666666,0.125,0.125,0.125,20000.0,102.75688646652894
2025-01-13,TS8888.CFFEX,TS8888,CFFEX,102.778,102.795,102.665,102.738,48392,99410854560.0,64806,103.319,102.294,,,,Normal,102.89560000000002,-0.0008169457898115073,-0.3411595688053426,,,,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,20000.0,102.71414134567698
2025-01-14,TS8888.CFFEX,TS8888,CFFEX,102.752,102.872,102.718,102.852,47091,96818606720.0,65701,103.244,102.22,,,,Normal,102.85740000000001,0.001109618641593313,1.8267816873266889,,,,0.5,0.3,0.3,0.3,20000.0,102.7994804952114
2025-01-15,TS8888.CFFEX,TS8888,CFFEX,102.867,102.9,102.812,102.839,38910,80033624480.0,65159,103.358,102.33,,,,Normal,102.82419999999999,-0.0001263952086493214,0.23988047911927352,,,,0.5,0.2727272727272727,0.2727272727272727,0.2727272727272727,20000.0,102.84454443587767
2025-01-16,TS8888.CFFEX,TS8888,CFFEX,102.824,102.871,102.78,102.851,38471,79116170760.0,67664,103.35,102.322,,,,Normal,102.82039999999999,0.00011668724900082417,0.23454563509492504,0.2980087617708905,,,0.6666666666666666,0.36363636363636365,0.3333333333333333,0.3333333333333333,20000.0,102.82572685919264
2025-01-17,TS8888.CFFEX,TS8888,CFFEX,102.885,102.888,102.762,102.78,34884,71719023960.0,68805,103.349,102.321,,,,Normal,102.81199999999998,-0.0006903190051628094,-0.884043093009136,-0.5390316828631981,,,0.3333333333333333,0.18181818181818182,0.15384615384615385,0.15384615384615385,20000.0,102.79644530443757
2025-01-20,TS8888.CFFEX,TS8888,CFFEX,102.758,102.852,102.753,102.828,40360,82998500120.0,71316,103.3,102.275,,,,Normal,102.83,0.0004670169293636839,0.485915539767555,1.1134587733187475,,,0.3333333333333333,0.36363636363636365,0.2857142857142857,0.2857142857142857,20000.0,102.82272066402379
2025-01-21,TS8888.CFFEX,TS8888,CFFEX,102.812,102.86,102.799,102.852,37107,76311879440.0,72865,103.345,102.317,,,,Normal,102.83000000000001,0.00023339946318134963,0.5912231754080423,0.6308127354251382,,,0.8333333333333334,0.6363636363636364,0.4666666666666667,0.4666666666666667,20000.0,102.82679742366669
