datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,ZN8888.SHFE,ZN8888,SHFE,25228.233,25289.14,25088.321,25240.671,199993,25185301325.0,286587,27065.965,23522.586,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,5.0,25186.182841399448
2025-01-03,ZN8888.SHFE,ZN8888,SHFE,24923.123,25013.994,24513.339,24664.176,356405,44074055175.0,257433,26937.636,23415.7,,,,Normal,,-0.02283992370884269,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.0,24732.568384281927
2025-01-06,ZN8888.SHFE,ZN8888,SHFE,24492.084,24579.015,24380.461,24467.655,280331,34318190625.0,244140,26436.106,22976.432,,,,Normal,,-0.007967872107302543,,,,,0.25,0.25,0.25,0.25,5.0,24484.04965915293
2025-01-07,ZN8888.SHFE,ZN8888,SHFE,24666.996,24738.272,24286.705,24378.031,272921,33415176275.0,238384,26186.855,22760.18,,,,Normal,,-0.0036629583014800016,,,,,0.2,0.2,0.2,0.2,5.0,24487.068620589842
2025-01-08,ZN8888.SHFE,ZN8888,SHFE,24339.375,24400.804,24063.387,24193.869,256431,31100150875.0,238126,26182.725,22754.915,,,,Normal,24588.880400000002,-0.00755442471953538,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,5.0,24256.155359531414
2025-01-09,ZN8888.SHFE,ZN8888,SHFE,24027.338,24170.547,23798.427,24091.034,320322,38378896600.0,235442,25935.387,22542.439,,,,Normal,24358.952999999998,-0.00425045700627702,0.7143478542809399,,,,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,5.0,23962.697910227835
2025-01-10,ZN8888.SHFE,ZN8888,SHFE,24154.916,24244.271,24015.87,24124.028,214395,25866878800.0,231900,25629.383,22274.77,,,,Normal,24250.9234,0.0013695551631365266,1.7197792991413805,,,,0.3333333333333333,0.25,0.25,0.25,5.0,24130.113855267147
2025-01-13,ZN8888.SHFE,ZN8888,SHFE,24267.973,24335.789,24064.221,24251.162,291468,35299902050.0,232035,25805.883,22427.311,,,,Normal,24207.624799999998,0.005270015438549658,1.55305555889628,,,,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.4444444444444444,5.0,24222.145861638328
2025-01-14,ZN8888.SHFE,ZN8888,SHFE,24280.793,24296.361,24002.45,24013.457,266290,32149868525.0,236415,25900.91,22512.776,,,,Normal,24134.71,-0.00980179836331152,-1.218672918594647,,,,0.16666666666666666,0.1,0.1,0.1,5.0,24146.508336775696
2025-01-15,ZN8888.SHFE,ZN8888,SHFE,24105.972,24201.592,23467.335,23544.963,388426,46298566575.0,258168,25813.461,22435.701,,,,Normal,24004.928799999998,-0.019509644113298585,-1.6214338664992736,,,,0.16666666666666666,0.09090909090909091,0.09090909090909091,0.09090909090909091,5.0,23839.066681941993
